,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf
2018-12-21-19-lafayette,23.3,7,3.1,1,103.9,82.4,28,0.493,69,0.435,30,0.275,19,0.684,13,5,200,106.6,20.0,8,16,81,,5.3,4,0.362,25,0.32,8,48.6,36,0.519,3.7,3,44,0.5,22,0.545,6,"December 21, 2018",50.0,13,2.3,1,106.6,80.0,32,0.484,63,0.413,26,0.365,23,0.783,18,8,200,103.9,17.6,6,14,79,,2.6,2,0.492,31,0.29,9,51.4,38,0.534,13.1,11,32,0.531,17,0.273,3,"Kirby Sports Center, Easton, Pennsylvania",LAFAYETTE,Lafayette,76.0,Away,PRINCETON,Princeton,Princeton,ivy
2018-12-29-16-arizona-state,65.0,13,4.3,2,93.0,71.8,28,0.439,57,0.351,20,0.386,22,0.773,17,5,201,94.4,24.3,9,24,67,,2.8,2,0.544,31,0.323,10,48.7,37,0.497,14.2,11,26,0.385,10,0.583,7,"December 29, 2018",40.0,8,30.8,8,94.4,75.7,28,0.339,62,0.323,20,0.516,32,0.75,24,3,201,93.0,28.2,11,17,66,17,5.6,4,0.242,15,0.133,2,51.3,39,0.427,7.3,6,47,0.383,18,0.75,9,"Wells Fargo Arena, Tempe, Arizona",ARIZONA-STATE,Arizona State,70.5,Away,PRINCETON,Princeton,Princeton,ivy
2019-01-05-17-princeton,26.9,7,8.2,4,90.7,75.0,33,0.46,62,0.419,26,0.21,13,0.615,8,5,225,86.7,24.3,9,14,65,,4.0,3,0.323,20,0.25,5,51.9,42,0.477,18.1,15,42,0.5,21,0.667,10,"January 5, 2019",39.3,11,4.8,2,86.7,75.7,28,0.419,74,0.378,28,0.162,12,0.5,6,5,225,90.7,25.0,11,13,68,,9.3,7,0.338,25,0.24,6,48.1,39,0.427,9.2,8,49,0.449,22,0.615,8,"Jadwin Gymnasium, Princeton, New Jersey",PENNSYLVANIA,Penn,67.1,Home,PRINCETON,Princeton,Princeton,ivy
2019-01-12-14-pennsylvania,25.0,5,5.0,2,73.6,86.0,37,0.347,62,0.323,20,0.339,21,0.905,19,5,200,86.1,30.6,11,17,62,,2.8,2,0.258,16,0.188,3,60.8,48,0.431,15.4,13,46,0.37,17,0.643,9,"January 12, 2019",45.0,9,13.0,6,86.1,69.4,25,0.377,61,0.328,20,0.213,13,0.538,7,6,200,73.6,14.0,6,19,53,,5.6,4,0.344,21,0.286,6,39.2,31,0.394,10.7,8,40,0.35,14,0.625,10,"The Palestra, Philadelphia, Pennsylvania",PENNSYLVANIA,Penn,71.6,Away,PRINCETON,Princeton,Princeton,ivy
2019-01-27-12-princeton,33.3,6,4.8,2,121.3,50.0,18,0.385,52,0.346,18,0.558,29,0.759,22,0,200,82.7,19.4,7,14,62,,13.3,10,0.288,15,0.267,4,34.7,25,0.471,16.7,13,37,0.378,14,0.0,0,"January 27, 2019",57.1,20,13.5,5,82.7,80.6,29,0.54,75,0.467,35,0.227,17,0.588,10,5,200,121.3,50.0,18,23,91,,5.3,4,0.44,33,0.333,11,65.3,47,0.548,13.6,13,42,0.571,24,0.667,10,"Jadwin Gymnasium, Princeton, New Jersey","Wesley
			","Wesley
			",74.9,Home,PRINCETON,Princeton,Princeton,ivy
2019-02-01-19-columbia,21.1,4,2.4,1,63.2,82.9,34,0.396,53,0.358,19,0.377,20,0.65,13,5,200,80.9,33.3,11,11,55,,11.8,8,0.377,20,0.2,4,60.8,45,0.44,19.5,15,33,0.455,15,0.688,11,"February 1, 2019",27.8,5,12.1,4,80.9,66.7,22,0.322,59,0.305,18,0.153,9,0.556,5,11,200,63.2,17.1,7,15,43,,13.2,9,0.305,18,0.111,2,39.2,29,0.34,17.1,13,41,0.39,16,0.353,6,"Levien Gym, New York, New York",COLUMBIA,Columbia,67.9,Away,PRINCETON,Princeton,Princeton,ivy
2019-02-02-19-cornell,25.0,6,7.1,3,84.7,73.8,31,0.532,47,0.511,24,0.553,26,0.769,20,5,225,97.2,14.3,3,15,70,,6.9,5,0.213,10,0.2,2,54.0,34,0.59,21.5,16,37,0.595,22,0.706,12,"February 2, 2019",33.3,8,10.8,4,97.2,85.7,18,0.4,65,0.369,24,0.231,15,0.6,9,10,225,84.7,26.2,11,22,61,,12.5,9,0.354,23,0.174,4,46.0,29,0.423,13.3,11,42,0.476,20,0.5,10,"Newman Arena, Ithaca, New York",CORNELL,Cornell,64.2,Away,PRINCETON,Princeton,Princeton,ivy
2019-02-08-19-yale,39.1,9,3.6,1,100.0,78.3,18,0.368,68,0.338,23,0.162,11,0.909,10,6,200,81.1,14.3,6,16,60,,12.2,9,0.324,22,0.182,4,36.9,24,0.41,12.1,10,46,0.413,19,0.667,12,"February 8, 2019",42.3,11,13.0,6,81.1,85.7,36,0.625,48,0.542,26,0.396,19,0.737,14,4,200,100.0,21.7,5,13,74,,4.1,3,0.417,20,0.4,8,63.1,41,0.649,25.2,19,28,0.643,18,0.778,14,"John J. Lee Ampitheater, New Haven, Connecticut",PRINCETON,Princeton,74.1,Home,YALE,Yale,Princeton,ivy
2019-02-09-18-brown,36.0,9,6.5,2,104.0,88.9,24,0.438,64,0.391,25,0.297,19,0.737,14,7,200,93.3,23.7,9,21,70,,5.3,4,0.344,22,0.273,6,50.8,33,0.479,15.2,13,42,0.452,19,0.632,12,"February 9, 2019",44.4,12,11.9,5,93.3,76.3,29,0.583,54,0.5,27,0.389,21,0.714,15,8,200,104.0,11.1,3,20,78,,8.0,6,0.426,23,0.391,9,49.2,32,0.61,14.8,11,31,0.581,18,0.636,14,"Pizzitola Sports Center, Providence, Rhode Island",PRINCETON,Princeton,74.5,Home,BROWN,Brown,Princeton,ivy
2019-02-15-19-princeton,26.9,7,19.4,6,98.6,81.3,26,0.554,56,0.464,26,0.375,21,0.762,16,8,200,111.4,24.2,8,16,78,,7.1,5,0.357,20,0.5,10,52.3,34,0.591,14.4,11,36,0.444,16,0.6,12,"February 15, 2019",58.3,14,5.6,2,111.4,75.8,25,0.509,55,0.436,24,0.364,20,0.65,13,8,200,98.6,18.8,6,19,69,,7.1,5,0.436,24,0.333,8,47.7,31,0.535,15.8,12,31,0.516,16,0.6,12,"Jadwin Gymnasium, Princeton, New Jersey",PRINCETON,Princeton,69.7,Away,HARVARD,Harvard,Princeton,ivy
2019-02-16-19-princeton,29.6,8,5.0,2,109.5,80.0,24,0.556,54,0.5,27,0.204,11,0.727,8,13,200,107.9,23.1,6,15,68,,9.5,6,0.222,12,0.5,6,53.6,30,0.574,12.0,8,42,0.5,21,0.458,11,"February 16, 2019",28.6,8,9.5,4,107.9,76.9,20,0.517,58,0.483,28,0.19,11,0.818,9,8,200,109.5,20.0,6,13,69,,11.1,7,0.31,18,0.222,4,46.4,26,0.546,10.0,7,40,0.6,24,0.619,13,"Jadwin Gymnasium, Princeton, New Jersey",DARTMOUTH,Dartmouth,62.7,Home,PRINCETON,Princeton,Princeton,ivy
2019-02-22-20-princeton,50.0,11,5.7,2,103.0,67.6,23,0.439,57,0.386,22,0.193,11,0.818,9,12,200,89.4,14.7,5,15,59,,10.6,7,0.439,25,0.24,6,41.2,28,0.474,15.1,11,32,0.5,16,0.52,13,"February 22, 2019",44.0,11,9.4,3,89.4,85.3,29,0.5,58,0.431,25,0.241,14,0.714,10,8,200,103.0,32.4,11,17,68,,10.6,7,0.397,23,0.348,8,58.8,40,0.526,14.6,11,35,0.486,17,0.636,14,"Jadwin Gymnasium, Princeton, New Jersey",CORNELL,Cornell,66.4,Home,PRINCETON,Princeton,Princeton,ivy
2019-02-23-20-princeton,34.6,9,9.4,3,112.9,86.2,25,0.491,57,0.456,26,0.228,13,0.385,5,17,200,87.1,21.2,7,15,61,,5.7,4,0.263,15,0.267,4,51.6,32,0.483,17.2,13,42,0.524,22,0.292,7,"February 23, 2019",48.1,13,7.1,3,87.1,78.8,26,0.569,58,0.466,27,0.293,17,0.765,13,8,200,112.9,13.8,4,13,79,,10.0,7,0.448,26,0.462,12,48.4,30,0.598,10.9,8,32,0.469,15,0.652,15,"Jadwin Gymnasium, Princeton, New Jersey",COLUMBIA,Columbia,69.6,Home,PRINCETON,Princeton,Princeton,ivy
2019-03-01-19-dartmouth,29.6,8,10.0,4,93.8,90.6,29,0.492,62,0.435,27,0.306,19,0.842,16,8,225,95.1,12.1,4,16,77,,9.9,8,0.355,22,0.318,7,50.8,33,0.542,16.6,14,40,0.5,20,0.667,16,"March 1, 2019",50.0,14,12.5,5,95.1,87.9,29,0.508,64,0.438,28,0.234,15,0.733,11,16,225,93.8,9.4,3,18,76,,7.4,6,0.375,24,0.375,9,49.2,32,0.534,14.5,12,40,0.475,19,0.407,11,"Leede Arena, Hanover, New Hampshire",DARTMOUTH,Dartmouth,71.6,Away,PRINCETON,Princeton,Princeton,ivy
2019-03-02-19-harvard,33.3,7,6.7,3,103.1,64.7,22,0.461,51,0.412,21,0.314,16,0.688,11,9,200,90.6,26.7,8,13,58,,7.8,5,0.314,16,0.313,5,46.9,30,0.495,19.4,14,35,0.457,16,0.64,16,"March 2, 2019",29.6,8,14.3,5,90.6,73.3,22,0.469,64,0.422,27,0.094,6,1.0,6,9,200,103.1,35.3,12,16,66,,12.5,8,0.297,19,0.316,6,53.1,34,0.494,10.7,8,45,0.467,21,0.64,16,"Lavietes Pavilion, Boston, Massachusetts",PRINCETON,Princeton,63.7,Home,HARVARD,Harvard,Princeton,ivy
2019-03-08-16-princeton,37.5,9,14.7,5,76.8,72.2,26,0.5,55,0.436,24,0.364,20,0.6,12,10,200,81.7,11.4,4,13,67,,15.9,13,0.436,24,0.292,7,42.3,30,0.519,22.0,18,31,0.548,17,0.655,19,"March 8, 2019",47.8,11,6.5,2,81.7,88.6,31,0.422,64,0.359,23,0.203,13,0.692,9,10,200,76.8,27.8,10,20,63,,9.8,8,0.469,30,0.267,8,57.7,41,0.449,26.4,25,34,0.441,15,0.615,16,"Jadwin Gymnasium, Princeton, New Jersey",PRINCETON,Princeton,81.8,Away,BROWN,Brown,Princeton,ivy
2019-03-09-18-princeton,55.2,16,6.1,2,84.3,84.8,28,0.533,61,0.475,29,0.361,22,0.727,16,7,200,115.7,21.2,7,14,81,,10.0,7,0.295,18,0.389,7,53.0,35,0.567,9.0,7,43,0.512,22,0.741,20,"March 9, 2019",42.9,9,2.3,1,115.7,78.8,26,0.42,56,0.375,21,0.339,19,0.632,12,11,200,84.3,15.2,5,17,59,,2.9,2,0.411,23,0.217,5,47.0,31,0.454,12.3,9,33,0.485,16,0.593,16,"Jadwin Gymnasium, Princeton, New Jersey",PRINCETON,Princeton,70.2,Away,YALE,Yale,Princeton,ivy
2019-03-16-15-yale,32.1,9,2.2,1,115.3,82.1,23,0.5,62,0.452,28,0.323,20,0.75,15,12,200,106.9,27.3,9,17,77,,5.6,4,0.387,24,0.25,6,52.5,32,0.538,12.4,10,38,0.579,22,0.571,16,"March 16, 2019",51.6,16,5.3,2,106.9,72.7,24,0.549,61,0.508,31,0.262,16,1.0,16,7,200,115.3,17.9,5,18,83,,11.1,8,0.262,16,0.313,5,47.5,29,0.605,10.5,8,45,0.578,26,0.75,21,"John J. Lee Ampitheater, New Haven, Connecticut",PRINCETON,Princeton,72.1,Home,YALE,Yale,Princeton,ivy
