,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf
2018-12-11-21-wyoming,42.4,14,0.0,0,108.8,90.3,28,0.568,66,0.5,33,0.227,15,1.0,15,7,225,112.5,37.0,10,20,90,,8.8,7,0.348,23,0.391,9,65.5,38,0.615,20.7,19,43,0.558,24,0.364,4,"December 11, 2018",34.4,11,4.7,2,112.5,63.0,17,0.615,61,0.525,32,0.295,18,0.667,12,7,225,108.8,9.7,3,16,87,,13.8,11,0.377,23,0.478,11,34.5,20,0.625,14.8,12,38,0.553,21,0.3,3,"Arena-Auditorium, Laramie, Wyoming",WYOMING,Wyoming,71.4,Away,DENVER,Denver,Denver,summit
2018-12-15-22-california-irvine,43.8,7,12.5,4,122.9,68.8,22,0.321,56,0.286,16,0.393,22,0.727,16,8,200,74.3,26.8,11,11,52,,7.1,5,0.268,15,0.267,4,45.2,33,0.391,17.6,14,41,0.293,12,0.333,4,"December 15, 2018",67.7,21,19.5,8,74.3,73.2,30,0.597,67,0.463,31,0.09,6,1.0,6,2,200,122.9,31.3,10,16,86,,5.7,4,0.522,35,0.514,18,54.8,40,0.616,12.6,10,32,0.406,13,0.833,10,"Bren Events Center, Irvine, California",DENVER,Denver,69.7,Home,CALIFORNIA-IRVINE,UC-Irvine,Denver,summit
2018-12-18-21-denver,57.9,11,4.3,1,104.1,79.2,19,0.409,55,0.345,19,0.436,24,0.792,19,7,200,87.7,15.6,5,15,64,,12.3,9,0.364,20,0.35,7,42.9,24,0.482,17.6,14,35,0.343,12,0.3,3,"December 18, 2018",65.4,17,11.4,4,87.7,84.4,27,0.644,52,0.5,26,0.231,12,0.75,9,8,200,104.1,20.8,5,17,76,,12.3,9,0.558,29,0.517,15,57.1,32,0.659,23.9,18,23,0.478,11,0.385,5,"Magness Arena, Denver, Colorado",MONTANA-STATE,Montana State,73.1,Home,DENVER,Denver,Denver,summit
2018-12-21-21-gonzaga,50.0,8,0.0,0,138.4,80.0,16,0.262,65,0.246,16,0.154,10,0.6,6,9,200,54.8,21.7,10,15,40,,5.5,4,0.277,18,0.111,2,39.4,26,0.287,14.7,12,47,0.298,14,0.357,5,"December 21, 2018",64.1,25,10.6,5,54.8,78.3,36,0.772,57,0.684,39,0.281,16,0.813,13,2,200,138.4,20.0,4,15,101,8,8.2,6,0.404,23,0.435,10,60.6,40,0.782,16.9,13,34,0.853,29,0.846,11,"McCarthey Athletic Center, Spokane, Washington",DENVER,Denver,72.7,Home,GONZAGA,Gonzaga,Denver,summit
2018-12-28-20-nebraska-omaha,40.0,14,0.0,0,123.0,80.0,24,0.549,72,0.486,35,0.125,9,0.556,5,10,200,113.5,41.7,15,19,84,,4.1,3,0.333,24,0.375,9,59.1,39,0.551,14.6,13,48,0.542,26,0.333,5,"December 28, 2018",50.0,17,4.2,2,113.5,58.3,21,0.627,63,0.54,34,0.254,16,0.75,12,7,200,123.0,20.0,6,11,91,,4.1,3,0.365,23,0.478,11,40.9,27,0.644,11.4,9,40,0.575,23,0.5,7,"Baxter Arena, Omaha, Nebraska",DENVER,Denver,73.9,Home,NEBRASKA-OMAHA,Omaha,Denver,summit
2018-12-30-17-western-illinois,52.4,11,2.3,1,116.4,74.2,23,0.471,52,0.404,21,0.346,18,0.611,11,11,200,89.6,18.2,6,18,60,,6.0,4,0.385,20,0.35,7,45.3,29,0.495,16.7,12,32,0.438,14,0.312,5,"December 30, 2018",30.0,9,9.4,3,89.6,81.8,27,0.542,60,0.5,30,0.283,17,0.765,13,9,200,116.4,25.8,8,18,78,,6.0,4,0.267,16,0.313,5,54.7,35,0.573,10.6,8,44,0.568,25,0.4,6,"Western Hall, Macomb, Illinois",DENVER,Denver,67.3,Home,WESTERN-ILLINOIS,Western Illinois,Denver,summit
2019-01-02-21-denver,48.0,12,2.8,1,107.7,80.0,16,0.574,54,0.463,25,0.241,13,0.692,9,8,200,109.2,24.1,7,21,71,,6.2,4,0.426,23,0.522,12,46.9,23,0.59,14.3,10,31,0.419,13,0.467,7,"January 2, 2019",60.9,14,12.9,4,109.2,75.9,22,0.533,46,0.5,23,0.5,23,0.913,21,12,200,107.7,20.0,4,20,70,,6.2,4,0.217,10,0.3,3,53.1,26,0.615,20.0,14,36,0.556,20,0.294,5,"Magness Arena, Denver, Colorado",DENVER,Denver,65.1,Away,SOUTH-DAKOTA,South Dakota,Denver,summit
2019-01-05-15-denver,55.2,16,5.1,2,86.8,74.3,26,0.608,60,0.483,29,0.233,14,0.5,7,9,200,117.6,16.7,5,17,80,,16.2,11,0.517,31,0.484,15,47.7,31,0.6,9.6,7,29,0.483,14,0.438,7,"January 5, 2019",54.5,12,3.4,1,117.6,83.3,25,0.472,54,0.407,22,0.222,12,0.667,8,13,200,86.8,25.7,9,17,59,,0.0,0,0.278,15,0.467,7,52.3,34,0.494,22.3,17,39,0.385,15,0.278,5,"Magness Arena, Denver, Colorado",DENVER,Denver,68.2,Away,NORTH-DAKOTA,North Dakota,Denver,summit
2019-01-10-20-south-dakota-state,44.0,11,0.0,0,111.4,91.7,22,0.47,66,0.379,25,0.091,6,0.667,4,14,200,94.3,26.3,10,20,66,,8.6,6,0.379,25,0.48,12,51.6,32,0.479,15.9,13,41,0.317,13,0.263,5,"January 10, 2019",58.3,14,2.4,1,94.3,73.7,28,0.656,45,0.533,24,0.511,23,0.826,19,6,200,111.4,8.3,2,14,78,,4.3,3,0.556,25,0.44,11,48.4,30,0.697,20.3,14,20,0.65,13,0.684,13,"Frost Arena, Brookings, South Dakota",DENVER,Denver,69.9,Home,SOUTH-DAKOTA-STATE,South Dakota State,Denver,summit
2019-01-16-21-denver,45.5,10,2.6,1,115.9,82.1,23,0.446,56,0.393,22,0.393,22,0.682,15,11,200,94.2,20.5,8,18,65,,7.2,5,0.393,22,0.273,6,46.3,31,0.489,14.3,11,34,0.471,16,0.421,8,"January 16, 2019",50.0,15,11.8,4,94.2,79.5,31,0.589,56,0.536,30,0.304,17,0.824,14,14,200,115.9,17.9,5,20,80,,8.7,6,0.321,18,0.333,6,53.7,36,0.624,13.6,10,38,0.632,24,0.3,6,"Magness Arena, Denver, Colorado",NORTH-DAKOTA-STATE,North Dakota State,69.3,Home,DENVER,Denver,Denver,summit
2019-01-20-18-denver,65.0,13,4.2,1,115.6,76.2,16,0.44,58,0.345,20,0.172,10,0.7,7,14,200,90.6,28.6,10,20,58,,7.8,5,0.414,24,0.458,11,46.4,26,0.462,16.1,12,34,0.265,9,0.364,8,"January 20, 2019",56.5,13,8.8,3,90.6,71.4,25,0.628,43,0.535,23,0.558,24,0.833,20,14,200,115.6,23.8,5,15,74,,12.5,8,0.442,19,0.421,8,53.6,30,0.68,20.7,14,24,0.625,15,0.333,7,"Magness Arena, Denver, Colorado",ORAL-ROBERTS,Oral Roberts,64.1,Home,DENVER,Denver,Denver,summit
2019-01-26-19-ipfw,33.3,11,7.5,3,130.0,78.1,25,0.627,59,0.559,33,0.153,9,0.778,7,15,200,115.7,30.8,8,12,81,,0.0,0,0.322,19,0.421,8,56.9,33,0.64,18.2,14,40,0.625,25,0.318,7,"January 26, 2019",42.4,14,10.0,4,115.7,69.2,18,0.6,65,0.508,33,0.277,18,0.722,13,10,200,130.0,21.9,7,12,91,,8.6,6,0.385,25,0.48,12,43.1,25,0.619,6.4,5,40,0.525,21,0.565,13,"Hilliard Gates Sports Center, Fort Wayne, Indiana",DENVER,Denver,70.4,Home,IPFW,Purdue-Fort Wayne,Denver,summit
2019-02-03-15-denver,48.6,17,5.7,2,113.9,66.7,22,0.667,63,0.556,35,0.143,9,0.889,8,6,200,127.8,17.9,5,22,92,,8.3,6,0.46,29,0.483,14,44.3,27,0.684,14.1,11,34,0.618,21,0.76,19,"February 3, 2019",28.0,7,5.9,2,127.8,82.1,23,0.492,59,0.424,25,0.441,26,0.923,24,16,200,113.9,33.3,11,15,82,,5.6,4,0.407,24,0.333,8,55.7,34,0.575,13.5,11,35,0.486,17,0.304,7,"Magness Arena, Denver, Colorado",DENVER,Denver,72.3,Away,SOUTH-DAKOTA-STATE,South Dakota State,Denver,summit
2019-02-07-20-oral-roberts,47.8,11,11.1,2,121.9,76.9,20,0.474,58,0.397,23,0.224,13,0.769,10,17,200,101.6,29.7,11,16,65,,7.8,5,0.328,19,0.474,9,49.2,31,0.506,15.8,12,39,0.359,14,0.292,7,"February 7, 2019",62.5,15,12.8,5,101.6,70.3,26,0.649,47,0.511,24,0.426,20,0.85,17,17,200,121.9,23.1,6,16,78,,7.8,5,0.617,29,0.448,13,50.8,32,0.69,18.9,13,18,0.611,11,0.346,9,"Mabee Center, Tulsa, Oklahoma",DENVER,Denver,64.3,Home,ORAL-ROBERTS,Oral Roberts,Denver,summit
2019-02-09-17-north-dakota-state,29.2,7,4.3,1,117.4,92.9,26,0.509,53,0.453,24,0.377,20,0.85,17,18,200,102.9,13.3,4,21,71,,5.8,4,0.377,20,0.3,6,51.7,30,0.568,13.9,10,33,0.545,18,0.28,7,"February 9, 2019",56.0,14,0.0,0,102.9,86.7,26,0.575,53,0.472,25,0.453,24,0.833,20,12,200,117.4,7.1,2,13,81,,8.7,6,0.566,30,0.367,11,48.3,28,0.629,9.9,7,23,0.609,14,0.52,13,"Scheels Center, Fargo, North Dakota",DENVER,Denver,69.0,Home,NORTH-DAKOTA-STATE,North Dakota State,Denver,summit
2019-02-14-21-denver,67.7,21,16.7,5,112.5,69.4,25,0.6,65,0.477,31,0.292,19,0.842,16,10,200,130.6,24.2,8,17,94,,13.9,10,0.508,33,0.485,16,47.8,33,0.635,7.6,6,32,0.469,15,0.63,17,"February 14, 2019",46.7,14,12.5,4,130.6,75.8,25,0.573,62,0.484,30,0.242,15,0.667,10,19,200,112.5,30.6,11,13,81,,5.6,4,0.516,32,0.344,11,52.2,36,0.586,15.9,13,30,0.633,19,0.269,7,"Magness Arena, Denver, Colorado",DENVER,Denver,71.6,Away,IPFW,Purdue-Fort Wayne,Denver,summit
2019-02-20-20-south-dakota,41.2,7,8.0,2,114.3,92.6,25,0.355,55,0.309,17,0.145,8,0.75,6,20,200,71.4,17.1,6,13,45,,3.2,2,0.273,15,0.333,5,50.0,31,0.383,13.3,9,40,0.3,12,0.259,7,"February 20, 2019",60.0,15,10.0,4,71.4,82.9,29,0.583,54,0.463,25,0.222,12,0.75,9,15,200,114.3,7.4,2,12,72,,9.5,6,0.537,29,0.448,13,50.0,31,0.603,9.2,6,25,0.48,12,0.423,11,"Sanford Coyote Sports Center, Vermillon, South Dakota",DENVER,Denver,62.8,Home,SOUTH-DAKOTA,South Dakota,Denver,summit
2019-02-23-16-north-dakota,25.0,6,2.4,1,114.1,81.8,27,0.464,56,0.429,24,0.232,13,0.846,11,21,200,88.7,17.9,5,19,63,,2.8,2,0.411,23,0.174,4,52.5,32,0.507,19.6,15,33,0.606,20,0.25,7,"February 23, 2019",37.5,12,0.0,0,88.7,82.1,23,0.581,62,0.516,32,0.194,12,0.75,9,16,200,114.1,18.2,6,14,81,,11.3,8,0.339,21,0.381,8,47.5,29,0.598,10.6,8,41,0.585,24,0.407,11,"Betty Engelstad Sioux Center , Grand Forks, North Dakota",DENVER,Denver,70.9,Home,NORTH-DAKOTA,North Dakota,Denver,summit
2019-02-28-21-denver,47.1,8,9.5,4,104.2,71.1,27,0.33,56,0.304,17,0.196,11,0.818,9,19,200,64.8,17.9,7,17,46,,5.6,4,0.196,11,0.273,3,44.2,34,0.376,22.8,18,45,0.311,14,0.321,9,"February 28, 2019",51.9,14,8.9,4,64.8,82.1,32,0.47,66,0.409,27,0.242,16,0.75,12,21,200,104.2,28.9,11,18,74,,16.9,12,0.364,24,0.333,8,55.8,43,0.503,9.9,8,42,0.452,19,0.276,8,"Magness Arena, Denver, Colorado",WESTERN-ILLINOIS,Western Illinois,71.4,Home,DENVER,Denver,Denver,summit
2019-03-02-15-denver,54.5,18,2.9,1,108.6,68.6,24,0.568,66,0.5,33,0.242,16,0.688,11,10,200,122.9,25.8,8,14,86,,7.1,5,0.333,22,0.409,9,48.5,32,0.584,6.4,5,44,0.545,24,0.655,19,"March 2, 2019",53.8,14,11.4,5,122.9,74.2,23,0.483,60,0.433,26,0.333,20,0.9,18,22,200,108.6,31.4,11,13,76,,1.4,1,0.417,25,0.24,6,51.5,34,0.547,13.8,11,35,0.571,20,0.267,8,"Magness Arena, Denver, Colorado",DENVER,Denver,70.1,Away,NEBRASKA-OMAHA,Omaha,Denver,summit
