,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf
2018-12-13-19-samford,42.9,12,8.8,3,100.0,75.0,21,0.414,76,0.368,28,0.197,15,0.6,9,7,225,93.5,31.3,15,19,72,,11.7,9,0.342,26,0.269,7,47.4,36,0.433,11.8,11,50,0.42,21,0.3,3,"December 13, 2018",40.7,11,12.0,6,93.5,68.8,33,0.577,52,0.519,27,0.462,24,0.708,17,2,225,100.0,25.0,7,15,77,,9.1,7,0.346,18,0.333,6,52.6,40,0.607,22.3,18,34,0.618,21,0.818,9,"Pete Hanna Center, Birmingham, Alabama",MOREHEAD-STATE,Morehead State,68.2,Home,SAMFORD,Samford,Samford,southern
2018-12-17-19-samford,50.0,10,2.5,1,114.9,71.4,25,0.362,65,0.308,20,0.308,20,0.7,14,6,200,82.4,34.9,15,15,61,,6.8,5,0.369,24,0.292,7,51.3,40,0.409,15.9,14,41,0.317,13,0.333,3,"December 17, 2018",41.9,13,14.6,6,82.4,65.1,28,0.578,64,0.484,31,0.281,18,0.611,11,2,200,114.9,28.6,10,17,85,,10.8,8,0.375,24,0.5,12,48.7,38,0.586,13.3,11,40,0.475,19,0.833,10,"Pete Hanna Center, Birmingham, Alabama",HOUSTON-BAPTIST,Houston Baptist,73.5,Home,SAMFORD,Samford,Samford,southern
2018-12-19-19-tennessee,56.5,13,4.7,2,116.9,78.6,22,0.421,63,0.365,23,0.349,22,0.773,17,3,200,98.6,30.0,12,17,70,,9.9,7,0.365,23,0.304,7,50.0,34,0.477,14.2,12,40,0.4,16,0.769,10,"December 19, 2018",66.7,22,10.0,4,98.6,70.0,28,0.623,57,0.579,33,0.351,20,0.6,12,1,200,116.9,21.4,6,17,83,3,9.9,7,0.246,14,0.357,5,50.0,34,0.624,12.0,9,43,0.651,28,0.9,9,"Thompson-Boling Arena, Knoxville, Tennessee",SAMFORD,Samford,71.5,Home,TENNESSEE,Tennessee,Samford,southern
2018-12-22-15-samford,44.0,11,2.9,1,105.6,72.4,21,0.519,54,0.463,25,0.667,36,0.75,27,2,200,116.9,27.3,9,21,83,,9.9,7,0.333,18,0.333,6,48.4,30,0.584,14.7,12,36,0.528,19,0.857,12,"December 22, 2018",60.9,14,13.9,5,116.9,72.7,24,0.531,48,0.479,23,0.667,32,0.75,24,4,200,105.6,27.6,8,22,75,,12.7,9,0.292,14,0.357,5,51.6,32,0.593,17.3,13,34,0.529,18,0.714,10,"Pete Hanna Center, Birmingham, Alabama",SAMFORD,Samford,71.2,Away,NORTH-CAROLINA-GREENSBORO,UNC Greensboro,Samford,southern
2018-12-29-15-samford,65.2,15,2.4,1,121.5,69.0,20,0.446,65,0.354,23,0.2,13,0.769,10,8,200,86.1,13.5,5,19,68,,5.1,4,0.523,34,0.353,12,37.9,25,0.478,15.5,13,31,0.355,11,0.429,6,"December 29, 2018",60.0,21,16.1,5,86.1,86.5,32,0.645,62,0.565,35,0.371,23,0.696,16,4,200,121.5,31.0,9,16,96,,10.1,8,0.339,21,0.476,10,62.1,41,0.658,17.2,15,41,0.61,25,0.733,11,"Pete Hanna Center, Birmingham, Alabama",VIRGINIA-MILITARY-INSTITUTE,VMI,79.1,Home,SAMFORD,Samford,Samford,southern
2019-01-03-19-east-tennessee-state,63.0,17,9.8,4,101.3,55.0,22,0.508,62,0.435,27,0.194,12,0.75,9,5,225,90.0,17.1,6,16,72,,13.8,11,0.387,24,0.375,9,37.3,28,0.532,21.1,18,38,0.474,18,0.688,11,"January 3, 2019",51.6,16,13.2,5,90.0,82.9,29,0.493,70,0.443,31,0.3,21,0.571,12,4,225,101.3,45.0,18,16,81,,13.8,11,0.414,29,0.241,7,62.7,47,0.506,18.5,18,41,0.585,24,0.75,12,"Freedom Hall Civic Center, Johnson City, Tennessee",SAMFORD,Samford,71.0,Home,EAST-TENNESSEE-STATE,ETSU,Samford,southern
2019-01-05-14-western-carolina,50.0,12,5.6,1,116.9,68.4,13,0.5,53,0.453,24,0.377,20,0.8,16,6,200,106.2,14.8,4,17,69,,13.8,9,0.321,17,0.294,5,37.0,17,0.552,13.9,10,36,0.528,19,0.647,11,"January 5, 2019",50.0,13,2.8,1,106.2,85.2,23,0.663,49,0.531,26,0.265,13,0.846,11,13,200,116.9,31.6,6,19,76,,7.7,5,0.633,31,0.419,13,63.0,29,0.689,18.0,12,18,0.722,13,0.235,4,"Ramsey Center, Cullowhee, North Carolina",SAMFORD,Samford,64.8,Home,WESTERN-CAROLINA,Western Carolina,Samford,southern
2019-01-12-16-chattanooga,34.5,10,5.7,2,111.1,75.0,24,0.463,68,0.426,29,0.206,14,0.857,12,7,200,104.2,24.3,9,15,75,,9.7,7,0.221,15,0.333,5,47.8,33,0.502,8.6,7,53,0.453,24,0.611,11,"January 12, 2019",51.6,16,5.7,3,104.2,75.7,28,0.627,59,0.525,31,0.22,13,0.462,6,10,200,111.1,25.0,8,14,80,,2.8,2,0.407,24,0.5,12,52.2,36,0.614,17.8,14,35,0.543,19,0.444,8,"The McKenzie Arena, Chattanooga, Tennessee",SAMFORD,Samford,71.9,Home,CHATTANOOGA,Chattanooga,Samford,southern
2019-01-17-19-samford,57.1,16,21.9,7,112.7,68.6,24,0.493,74,0.378,28,0.068,5,0.8,4,8,200,108.5,32.6,14,17,77,,2.8,2,0.622,46,0.37,17,48.7,38,0.504,9.5,8,28,0.393,11,0.529,9,"January 17, 2019",55.6,15,10.7,3,108.5,67.4,29,0.523,64,0.422,27,0.359,23,0.565,13,7,200,112.7,31.4,11,7,80,,11.3,8,0.5,32,0.406,13,51.3,40,0.534,9.7,8,32,0.438,14,0.632,12,"Pete Hanna Center, Birmingham, Alabama",CITADEL,Citadel,71.2,Home,SAMFORD,Samford,Samford,southern
2019-01-19-15-samford,57.1,16,16.2,6,111.5,67.6,23,0.647,51,0.549,28,0.686,35,0.771,27,12,200,119.2,8.0,2,20,93,,7.7,6,0.412,21,0.476,10,42.4,25,0.688,14.2,11,30,0.6,18,0.368,7,"January 19, 2019",50.0,15,3.3,1,119.2,92.0,23,0.545,66,0.455,30,0.318,21,0.714,15,8,200,111.5,32.4,11,25,87,,6.4,5,0.439,29,0.414,12,57.6,34,0.573,15.7,14,37,0.486,18,0.6,12,"Pete Hanna Center, Birmingham, Alabama",SAMFORD,Samford,77.8,Away,MERCER,Mercer,Samford,southern
2019-01-24-19-wofford,55.3,21,7.9,3,135.4,60.0,18,0.763,57,0.667,38,0.351,20,0.95,19,9,225,134.2,22.2,4,12,106,,6.3,5,0.263,15,0.733,11,45.8,22,0.797,20.5,17,42,0.643,27,0.571,12,"January 24, 2019",53.7,22,7.1,3,134.2,77.8,14,0.669,74,0.554,41,0.135,10,0.8,8,4,225,135.4,40.0,12,20,107,,10.1,8,0.486,36,0.472,17,54.2,26,0.679,13.3,12,38,0.632,24,0.8,16,"Richardson Indoor Stadium, Spartanburg, South Carolina",SAMFORD,Samford,70.3,Home,WOFFORD,Wofford,Samford,southern
2019-01-26-16-furman,65.4,17,15.6,5,100.0,67.6,25,0.534,58,0.448,26,0.276,16,0.813,13,9,200,102.7,20.7,6,16,75,,6.8,5,0.431,25,0.4,10,47.0,31,0.572,16.7,13,33,0.485,16,0.591,13,"January 26, 2019",63.0,17,3.0,1,102.7,79.3,23,0.492,63,0.429,27,0.222,14,0.786,11,5,200,100.0,32.4,12,15,73,,11.0,8,0.492,31,0.258,8,53.0,35,0.524,17.8,15,32,0.594,19,0.762,16,"Timmons Arena, Greenville, South Carolina",FURMAN,Furman,72.6,Away,SAMFORD,Samford,Samford,southern
2019-01-31-19-samford,61.5,16,2.8,1,91.7,81.3,26,0.447,66,0.394,26,0.348,23,0.652,15,5,200,102.8,31.6,12,21,74,,9.7,7,0.318,21,0.333,7,54.3,38,0.481,10.6,9,45,0.422,19,0.783,18,"January 31, 2019",50.0,12,20.0,9,102.8,68.4,26,0.5,52,0.462,24,0.442,23,0.609,14,10,200,91.7,18.8,6,21,66,,6.9,5,0.308,16,0.25,4,45.7,32,0.524,17.3,13,36,0.556,20,0.565,13,"Pete Hanna Center, Birmingham, Alabama",SAMFORD,Samford,71.9,Away,EAST-TENNESSEE-STATE,ETSU,Samford,southern
2019-02-02-15-samford,44.8,13,7.9,3,124.3,80.0,20,0.539,64,0.453,29,0.25,16,0.75,12,18,200,109.5,34.3,12,19,81,,5.4,4,0.375,24,0.458,11,53.3,32,0.566,17.4,15,40,0.45,18,0.25,6,"February 2, 2019",57.1,20,15.0,6,109.5,65.7,23,0.69,58,0.603,35,0.31,18,0.667,12,10,200,124.3,20.0,5,18,92,,10.8,8,0.345,20,0.5,10,46.7,28,0.691,15.4,12,38,0.658,25,0.583,14,"Pete Hanna Center, Birmingham, Alabama",WESTERN-CAROLINA,Western Carolina,74.1,Home,SAMFORD,Samford,Samford,southern
2019-02-07-19-north-carolina-greensboro,41.7,10,13.2,5,98.7,69.4,25,0.528,53,0.453,24,0.245,13,0.846,11,11,200,88.2,20.0,5,16,67,,11.8,9,0.377,20,0.4,8,49.2,30,0.566,26.3,21,33,0.485,16,0.56,14,"February 7, 2019",55.2,16,15.2,5,88.2,80.0,20,0.507,67,0.433,29,0.194,13,0.538,7,3,200,98.7,30.6,11,14,75,,17.1,13,0.433,29,0.345,10,50.8,31,0.512,17.1,15,38,0.5,19,0.875,21,"Greensboro Coliseum, Greensboro, North Carolina",SAMFORD,Samford,76.2,Home,NORTH-CAROLINA-GREENSBORO,UNC Greensboro,Samford,southern
2019-02-09-13-virginia-military-institute,62.5,20,16.7,6,90.6,69.4,34,0.569,65,0.492,32,0.308,20,0.5,10,11,225,98.8,18.2,6,15,84,,12.9,11,0.415,27,0.37,10,48.8,40,0.564,17.8,16,38,0.579,22,0.577,15,"February 9, 2019",77.8,21,0.0,0,98.8,81.8,27,0.429,78,0.346,27,0.192,15,0.667,10,17,225,90.6,30.6,15,20,77,,12.9,11,0.538,42,0.31,13,51.2,42,0.452,15.9,16,36,0.389,14,0.292,7,"Cameron Hall, Lexington, Virginia",VIRGINIA-MILITARY-INSTITUTE,VMI,75.8,Away,SAMFORD,Samford,Samford,southern
2019-02-16-17-samford,44.8,13,4.0,2,97.6,83.3,30,0.479,73,0.397,29,0.164,12,0.5,6,16,225,92.7,26.2,11,23,76,,6.1,5,0.438,32,0.375,12,52.6,41,0.483,16.1,15,41,0.415,17,0.407,11,"February 16, 2019",34.5,10,7.3,3,92.7,73.8,31,0.5,62,0.468,29,0.403,25,0.72,18,11,225,97.6,16.7,6,15,80,,9.8,8,0.194,12,0.333,4,47.4,37,0.541,16.1,14,50,0.5,25,0.593,16,"Pete Hanna Center, Birmingham, Alabama",CHATTANOOGA,Chattanooga,73.1,Home,SAMFORD,Samford,Samford,southern
2019-02-21-19-mercer,40.0,8,20.8,5,90.3,83.3,30,0.388,58,0.345,20,0.397,23,0.739,17,12,200,86.1,22.5,9,12,62,,13.9,10,0.379,22,0.227,5,51.3,39,0.45,17.0,14,36,0.417,15,0.571,16,"February 21, 2019",54.5,12,5.6,2,86.1,77.5,31,0.491,57,0.386,22,0.211,12,0.75,9,17,200,90.3,16.7,6,18,65,,5.6,4,0.579,33,0.364,12,48.7,37,0.518,17.3,13,24,0.417,10,0.37,10,"Hawkins Arena, Macon, Georgia",SAMFORD,Samford,71.8,Home,MERCER,Mercer,Samford,southern
2019-02-23-13-citadel,53.6,15,4.3,1,111.5,66.7,26,0.472,71,0.394,28,0.31,22,0.727,16,13,225,106.4,37.5,15,18,83,,3.8,3,0.493,35,0.314,11,51.9,41,0.51,15.7,15,36,0.472,17,0.552,16,"February 23, 2019",67.9,19,30.6,11,106.4,62.5,25,0.514,70,0.4,28,0.243,17,0.882,15,15,225,111.5,33.3,13,19,87,,9.0,7,0.671,47,0.34,16,48.1,38,0.557,11.4,10,23,0.522,12,0.444,12,"McAlister Field House, Charleston, South Carolina",SAMFORD,Samford,69.6,Home,CITADEL,Citadel,Samford,southern
2019-02-28-19-samford,55.6,15,9.5,4,112.5,61.9,26,0.62,54,0.5,27,0.444,24,0.958,23,6,200,125.0,28.0,7,21,90,,11.1,8,0.519,28,0.464,13,49.3,33,0.688,16.8,13,26,0.538,14,0.793,23,"February 28, 2019",29.6,8,26.9,7,125.0,72.0,18,0.464,69,0.391,27,0.319,22,0.773,17,14,200,112.5,38.1,16,20,81,,13.9,10,0.391,27,0.37,10,50.7,34,0.51,10.3,9,42,0.405,17,0.533,16,"Pete Hanna Center, Birmingham, Alabama",SAMFORD,Samford,71.9,Away,FURMAN,Furman,Samford,southern
2019-03-02-14-samford,43.8,14,8.1,3,90.1,69.7,23,0.591,66,0.485,32,0.121,8,0.875,7,4,200,119.7,33.3,11,20,85,24,9.9,7,0.455,30,0.467,14,51.5,34,0.609,11.5,9,36,0.5,18,0.867,26,"March 2, 2019",44.0,11,13.9,5,119.7,66.7,22,0.425,60,0.417,25,0.317,19,0.684,13,15,200,90.1,30.3,10,12,64,,7.0,5,0.383,23,0.043,1,48.5,32,0.464,18.0,15,37,0.649,24,0.516,16,"Pete Hanna Center, Birmingham, Alabama",SAMFORD,Samford,70.9,Away,WOFFORD,Wofford,Samford,southern
2019-03-08-19-samford,39.3,11,6.3,2,131.6,76.2,16,0.473,73,0.384,28,0.068,5,0.4,2,18,200,93.4,33.3,15,18,71,,6.6,5,0.616,45,0.289,13,47.0,31,0.471,18.4,17,28,0.536,15,0.4,12,"March 8, 2019",64.7,22,14.3,4,93.4,66.7,30,0.705,56,0.607,34,0.446,25,0.84,21,15,200,131.6,23.8,5,12,100,,10.5,8,0.429,24,0.458,11,53.0,35,0.737,15.2,12,32,0.719,23,0.531,17,"U.S. Cellular Center, Asheville, North Carolina",CITADEL,Citadel,76.1,Home,SAMFORD,Samford,Samford,southern
2019-03-09-18-north-carolina-greensboro,44.4,12,2.9,1,113.2,64.7,22,0.468,62,0.435,27,0.226,14,0.857,12,16,200,102.9,32.1,9,22,70,,10.3,7,0.339,21,0.19,4,50.0,31,0.51,13.9,11,41,0.561,23,0.515,17,"March 9, 2019",43.5,10,14.6,6,102.9,67.9,19,0.509,53,0.434,23,0.566,30,0.767,23,5,200,113.2,35.3,12,13,77,,10.3,7,0.34,18,0.444,8,50.0,31,0.572,14.2,11,35,0.429,15,0.844,27,"U.S. Cellular Center, Asheville, North Carolina",SAMFORD,Samford,68.5,Home,NORTH-CAROLINA-GREENSBORO,UNC Greensboro,Samford,southern
