,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf
2018-12-22-14-quinnipiac,34.6,9,6.7,2,101.4,63.9,23,0.475,60,0.433,26,0.467,28,0.679,19,3,200,105.6,38.9,14,21,76,,8.3,6,0.267,16,0.313,5,51.4,37,0.518,15.2,13,44,0.477,21,0.786,11,"December 22, 2018",52.2,12,4.5,2,105.6,61.1,22,0.492,59,0.39,23,0.39,23,0.652,15,6,200,101.4,36.1,13,23,73,,6.9,5,0.492,29,0.414,12,48.6,35,0.522,16.8,14,30,0.367,11,0.455,5,"TD Bank Sports Center, Hamden, Connecticut",QUINNIPIAC,Quinnipiac,71.6,Away,STONY-BROOK,Stony Brook,Quinnipiac,maac
2019-01-03-19-manhattan,70.0,14,5.4,2,93.7,64.3,18,0.565,46,0.435,20,0.348,16,0.688,11,6,200,100.0,20.0,5,13,63,,14.3,9,0.63,29,0.414,12,43.4,23,0.588,20.9,14,17,0.471,8,0.5,6,"January 3, 2019",41.7,10,11.8,2,100.0,80.0,20,0.5,54,0.444,24,0.13,7,0.714,5,11,200,93.7,35.7,10,17,59,,11.1,7,0.315,17,0.353,6,56.6,30,0.515,21.9,16,37,0.486,18,0.154,2,"Draddy Gymnasium, Riverdale, New York",MANHATTAN,Manhattan,63.0,Away,QUINNIPIAC,Quinnipiac,Quinnipiac,maac
2019-01-05-19-rider,50.0,11,14.0,6,93.5,72.7,24,0.491,57,0.386,22,0.281,16,0.688,11,7,200,87.0,17.6,6,20,67,,9.1,7,0.579,33,0.364,12,44.8,30,0.519,21.9,18,24,0.417,10,0.462,6,"January 5, 2019",42.3,11,16.7,4,87.0,82.4,28,0.459,61,0.426,26,0.377,23,0.696,16,7,200,93.5,27.3,9,18,72,,13.0,10,0.295,18,0.222,4,55.2,37,0.501,17.4,15,43,0.512,22,0.5,7,"Alumni Gymnasium, Lawrenceville, New Jersey",QUINNIPIAC,Quinnipiac,77.3,Home,RIDER,Rider,Quinnipiac,maac
2019-01-10-19-quinnipiac,35.3,12,13.0,3,103.5,69.4,25,0.468,77,0.442,34,0.247,19,0.579,11,14,250,96.5,30.0,12,27,83,,10.5,9,0.325,25,0.16,4,48.7,37,0.482,12.3,12,52,0.577,30,0.125,2,"January 10, 2019",53.8,14,5.8,3,96.5,70.0,28,0.559,59,0.441,26,0.593,35,0.657,23,7,250,103.5,30.6,11,22,89,,11.6,10,0.61,36,0.389,14,51.3,39,0.588,22.0,21,23,0.522,12,0.5,7,"TD Bank Sports Center, Hamden, Connecticut",MONMOUTH,Monmouth,68.7,Home,QUINNIPIAC,Quinnipiac,Quinnipiac,maac
2019-01-13-14-quinnipiac,41.9,13,16.0,4,117.6,59.1,13,0.57,64,0.484,31,0.125,8,0.625,5,12,200,114.7,25.0,8,23,78,,13.2,9,0.484,31,0.355,11,38.9,21,0.575,10.6,8,33,0.606,20,0.294,5,"January 13, 2019",75.0,18,3.0,1,114.7,75.0,24,0.622,49,0.49,24,0.49,24,0.792,19,7,200,117.6,40.9,9,14,80,,8.8,6,0.49,24,0.542,13,61.1,33,0.662,22.2,17,25,0.44,11,0.533,8,"TD Bank Sports Center, Hamden, Connecticut",FAIRFIELD,Fairfield,68.1,Home,QUINNIPIAC,Quinnipiac,Quinnipiac,maac
2019-01-17-19-quinnipiac,69.2,18,16.1,5,98.4,60.7,17,0.508,61,0.426,26,0.115,7,0.429,3,11,200,101.6,31.3,10,15,65,,6.3,4,0.393,24,0.417,10,45.0,27,0.505,11.1,8,37,0.432,16,0.353,6,"January 17, 2019",54.5,12,8.1,3,101.6,68.8,22,0.466,58,0.379,22,0.207,12,0.75,9,8,200,98.4,39.3,11,10,63,,6.3,4,0.466,27,0.37,10,55.0,33,0.495,17.0,13,31,0.387,12,0.5,8,"TD Bank Sports Center, Hamden, Connecticut",QUINNIPIAC,Quinnipiac,64.0,Away,CANISIUS,Canisius,Quinnipiac,maac
2019-01-19-14-quinnipiac,29.6,8,9.7,3,112.5,64.5,20,0.625,52,0.519,27,0.327,17,0.588,10,10,200,117.2,21.4,6,14,75,,7.8,5,0.365,19,0.579,11,44.1,26,0.624,13.1,9,33,0.485,16,0.474,9,"January 19, 2019",61.5,16,3.0,1,117.2,78.6,22,0.508,61,0.426,26,0.18,11,0.909,10,9,200,112.5,35.5,11,17,72,,6.3,4,0.492,30,0.333,10,55.9,33,0.544,13.2,10,31,0.516,16,0.471,8,"TD Bank Sports Center, Hamden, Connecticut",QUINNIPIAC,Quinnipiac,64.2,Away,NIAGARA,Niagara,Quinnipiac,maac
2019-01-25-19-marist,56.7,17,0.0,0,116.4,78.6,22,0.682,55,0.545,30,0.473,26,0.654,17,9,200,137.3,23.1,6,17,92,,4.5,3,0.582,32,0.469,15,51.9,28,0.683,9.5,7,23,0.652,15,0.5,9,"January 25, 2019",33.3,10,4.3,1,137.3,76.9,20,0.634,56,0.536,30,0.25,14,0.5,7,12,200,116.4,21.4,6,24,78,,4.5,3,0.464,26,0.423,11,48.1,26,0.623,11.4,8,30,0.633,19,0.368,7,"McCann Recreation Center, Poughkeepsie, New York",MARIST,Marist,66.5,Away,QUINNIPIAC,Quinnipiac,Quinnipiac,maac
2019-01-27-14-quinnipiac,47.8,11,13.6,3,122.2,78.3,18,0.472,54,0.426,23,0.185,10,0.7,7,13,200,92.1,23.1,6,23,58,,3.2,2,0.296,16,0.313,5,49.0,24,0.494,14.6,10,38,0.474,18,0.316,6,"January 27, 2019",47.8,11,5.3,2,92.1,76.9,20,0.598,46,0.5,23,0.543,25,0.88,22,9,200,122.2,21.7,5,11,77,,9.5,6,0.522,24,0.375,9,51.0,25,0.665,14.9,10,22,0.636,14,0.526,10,"TD Bank Sports Center, Hamden, Connecticut",SAINT-PETERS,St. Peter's,62.8,Home,QUINNIPIAC,Quinnipiac,Quinnipiac,maac
2019-02-01-19-canisius,57.1,12,2.9,1,108.7,72.7,24,0.51,50,0.42,21,0.52,26,0.731,19,10,200,101.4,20.0,6,20,70,,4.3,3,0.5,25,0.36,9,47.6,30,0.561,17.5,13,25,0.48,12,0.5,10,"February 1, 2019",70.8,17,16.0,4,101.4,80.0,24,0.492,60,0.4,24,0.333,20,0.8,16,12,200,108.7,27.3,9,21,75,,7.2,5,0.417,25,0.44,11,52.4,33,0.54,11.6,9,35,0.371,13,0.429,9,"Koessler Athletic Center, Buffalo, New York",QUINNIPIAC,Quinnipiac,69.4,Home,CANISIUS,Canisius,Quinnipiac,maac
2019-02-03-14-niagara,44.0,11,2.8,1,112.3,59.5,22,0.608,51,0.49,25,0.588,30,0.733,22,10,200,129.2,31.0,9,11,84,,7.7,5,0.549,28,0.429,12,47.0,31,0.644,9.8,7,23,0.565,13,0.524,11,"February 3, 2019",37.0,10,4.3,1,129.2,69.0,20,0.5,64,0.422,27,0.234,15,0.6,9,12,200,112.3,40.5,15,23,73,,6.2,4,0.438,28,0.357,10,53.0,35,0.513,12.4,10,36,0.472,17,0.478,11,"Gallagher Center, Niagara University, New York",NIAGARA,Niagara,64.7,Away,QUINNIPIAC,Quinnipiac,Quinnipiac,maac
2019-02-08-19-iona,46.2,12,7.1,3,97.0,82.1,32,0.492,59,0.441,26,0.169,10,0.8,8,10,200,98.5,30.0,9,10,66,,3.0,2,0.39,23,0.261,6,59.4,41,0.518,15.9,12,36,0.556,20,0.545,12,"February 8, 2019",44.4,12,16.7,6,98.5,70.0,21,0.44,67,0.403,27,0.119,8,0.75,6,15,200,97.0,17.9,7,11,65,,10.4,7,0.373,25,0.2,5,40.6,28,0.459,5.4,4,42,0.524,22,0.318,7,"Hynes Athletics Center, New Rochelle, New York",IONA,Iona,67.3,Away,QUINNIPIAC,Quinnipiac,Quinnipiac,maac
2019-02-12-19-quinnipiac,41.9,13,10.3,3,107.7,79.4,27,0.455,77,0.403,31,0.416,32,0.563,18,13,225,96.7,28.0,14,24,88,,12.1,11,0.351,27,0.296,8,48.8,41,0.477,12.5,13,50,0.46,23,0.48,12,"February 12, 2019",62.5,20,2.0,1,96.7,72.0,36,0.592,65,0.492,32,0.462,30,0.7,21,10,225,107.7,20.6,7,24,98,,5.5,5,0.554,36,0.361,13,51.2,43,0.618,18.7,18,29,0.655,19,0.565,13,"TD Bank Sports Center, Hamden, Connecticut",RIDER,Rider,80.6,Home,QUINNIPIAC,Quinnipiac,Quinnipiac,maac
2019-02-15-20-quinnipiac,54.2,13,5.0,1,103.4,65.4,17,0.5,55,0.436,24,0.2,11,0.727,8,14,200,106.8,20.7,6,16,63,,8.5,5,0.473,26,0.269,7,41.8,23,0.523,9.1,6,29,0.586,17,0.44,11,"February 15, 2019",75.0,15,10.3,3,106.8,79.3,23,0.481,53,0.377,20,0.208,11,0.909,10,11,200,103.4,34.6,9,15,61,,3.4,2,0.623,33,0.333,11,58.2,32,0.524,13.5,9,20,0.45,9,0.542,13,"TD Bank Sports Center, Hamden, Connecticut",QUINNIPIAC,Quinnipiac,59.2,Away,MARIST,Marist,Quinnipiac,maac
2019-02-17-14-siena,29.4,10,2.3,1,119.0,76.2,32,0.619,67,0.507,34,0.433,29,0.828,24,11,275,127.4,35.5,11,24,107,,2.4,2,0.448,30,0.5,15,58.9,43,0.662,15.8,15,37,0.514,19,0.56,14,"February 17, 2019",51.5,17,8.1,3,127.4,64.5,20,0.5,77,0.429,33,0.351,27,0.852,23,14,275,119.0,23.8,10,21,100,,13.1,11,0.429,33,0.333,11,41.1,30,0.557,4.3,4,44,0.5,22,0.481,13,"Times Union Center , Albany, New York",SIENA,Siena,61.3,Away,QUINNIPIAC,Quinnipiac,Quinnipiac,maac
2019-02-19-19-quinnipiac,55.6,15,9.1,2,102.7,77.8,35,0.517,60,0.45,27,0.433,26,0.731,19,15,200,108.0,17.6,6,18,81,,4.0,3,0.467,28,0.286,8,51.9,41,0.56,11.2,9,32,0.594,19,0.423,11,"February 19, 2019",50.0,13,3.1,1,108.0,82.4,28,0.486,71,0.366,26,0.239,17,0.471,8,12,200,102.7,22.2,10,21,77,,5.3,4,0.69,49,0.347,17,48.1,38,0.487,7.1,6,22,0.409,9,0.538,14,"TD Bank Sports Center, Hamden, Connecticut",QUINNIPIAC,Quinnipiac,75.2,Away,IONA,Iona,Quinnipiac,maac
2019-02-24-14-monmouth,52.9,9,2.6,1,84.8,76.3,29,0.48,49,0.347,17,0.51,25,0.84,21,12,200,103.0,35.5,11,19,68,,9.1,6,0.633,31,0.419,13,58.0,40,0.559,20.0,15,18,0.222,4,0.556,15,"February 24, 2019",55.0,11,22.2,4,103.0,64.5,20,0.386,57,0.351,20,0.351,20,0.6,12,20,200,84.8,23.7,9,19,56,,10.6,7,0.333,19,0.211,4,42.0,29,0.421,12.0,9,38,0.421,16,0.333,10,"Multipurpose Activity Center, West Long Branch, New Jersey",MONMOUTH,Monmouth,65.7,Away,QUINNIPIAC,Quinnipiac,Quinnipiac,maac
2019-03-01-19-saint-peters,75.0,18,9.3,4,88.2,83.9,26,0.762,42,0.571,24,0.357,15,0.867,13,12,200,113.2,5.9,1,11,77,,5.9,4,0.667,28,0.571,16,56.3,27,0.784,25.9,17,14,0.571,8,0.571,16,"March 1, 2019",45.8,11,14.3,2,113.2,94.1,16,0.427,62,0.387,24,0.129,8,0.875,7,21,200,88.2,16.1,5,18,60,,11.8,8,0.306,19,0.263,5,43.8,21,0.456,13.2,10,43,0.442,19,0.276,8,"Yanitelli Center, Jersey City, New Jersey",SAINT-PETERS,St. Peter's,68.0,Away,QUINNIPIAC,Quinnipiac,Quinnipiac,maac
2019-03-03-14-quinnipiac,39.1,9,14.3,3,92.1,76.5,26,0.5,55,0.418,23,0.255,14,0.5,7,20,200,98.4,27.3,9,17,62,,4.8,3,0.491,27,0.333,9,52.2,35,0.503,14.1,10,28,0.5,14,0.333,10,"March 3, 2019",62.5,10,10.7,3,98.4,72.7,24,0.404,52,0.308,16,0.365,19,0.842,16,13,200,92.1,23.5,8,15,58,,9.5,6,0.596,31,0.323,10,47.8,32,0.475,14.2,10,21,0.286,6,0.552,16,"TD Bank Sports Center, Hamden, Connecticut",QUINNIPIAC,Quinnipiac,62.8,Away,MANHATTAN,Manhattan,Quinnipiac,maac
2019-03-09-19-quinnipiac,40.0,14,13.3,2,129.6,74.1,20,0.603,63,0.556,35,0.444,28,0.786,22,20,200,138.0,31.0,9,16,98,,9.9,7,0.238,15,0.4,6,51.8,29,0.642,6.2,5,48,0.604,29,0.394,13,"March 9, 2019",57.7,15,4.2,2,138.0,69.0,20,0.66,53,0.491,26,0.453,24,0.917,22,14,200,129.6,25.9,7,21,92,,4.2,3,0.717,38,0.474,18,48.2,27,0.714,17.0,13,15,0.533,8,0.533,16,"Times Union Center , Albany, New York",QUINNIPIAC,Quinnipiac,71.4,Away,MONMOUTH,Monmouth,Quinnipiac,maac
2019-03-18-19-njit,30.0,9,6.1,2,139.4,71.0,22,0.574,61,0.492,30,0.246,15,0.733,11,15,200,122.7,28.1,9,22,81,,4.5,3,0.41,25,0.4,10,49.2,31,0.594,9.4,7,36,0.556,20,0.516,16,"March 18, 2019",43.3,13,2.8,1,122.7,71.9,23,0.61,59,0.508,30,0.441,26,0.769,20,12,200,139.4,29.0,9,15,92,,4.5,3,0.441,26,0.462,12,50.8,32,0.645,5.4,4,33,0.545,18,0.647,22,"NJIT Wellness and Events Center, Newark, New Jersey",QUINNIPIAC,Quinnipiac,66.2,Home,NJIT,NJIT,Quinnipiac,maac
