,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf
2019-12-21-19-evansville,64.0,16,6.7,2,100.0,89.3,25,0.444,62,0.403,25,0.468,29,0.724,21,5,225,97.4,41.7,15,27,76,,7.7,6,0.258,16,0.313,5,62.5,40,0.501,20.3,19,46,0.435,20,0.545,6,"December 21, 2019",61.5,16,10.9,5,97.4,58.3,21,0.577,52,0.5,26,0.519,27,0.667,18,4,225,100.0,10.7,3,20,78,,11.5,9,0.423,22,0.364,8,37.5,24,0.602,18.0,14,30,0.6,18,0.692,9,"Ford Center, Evansville, Indiana",MURRAY-STATE,Murray State,69.2,Home,EVANSVILLE,Evansville,Murray State,ovc
2019-12-28-20-murray-state,41.2,7,2.5,1,122.7,56.0,14,0.389,54,0.315,17,0.148,8,0.5,4,0,200,69.7,13.5,5,11,46,,7.6,5,0.37,20,0.4,8,30.6,19,0.398,16.1,11,34,0.265,9,0.0,0,"December 28, 2019",56.3,18,20.6,7,69.7,86.5,32,0.578,64,0.5,32,0.125,8,0.875,7,5,200,122.7,44.0,11,12,81,,6.1,4,0.375,24,0.417,10,69.4,43,0.597,14.0,11,40,0.55,22,0.583,7,"CFSB Center, Murray, Kentucky","Cumberland
			","Cumberland
			",65.8,Home,MURRAY-STATE,Murray State,Murray State,ovc
2020-01-02-20-murray-state,36.4,8,12.2,5,114.1,65.6,21,0.458,59,0.373,22,0.458,27,0.815,22,8,200,97.4,16.7,6,23,76,,7.7,6,0.458,27,0.37,10,39.7,27,0.529,15.5,13,32,0.375,12,0.333,4,"January 2, 2020",54.8,17,18.8,6,97.4,83.3,30,0.643,56,0.554,31,0.536,30,0.567,17,5,200,114.1,34.4,11,26,89,,3.8,3,0.268,15,0.667,10,60.3,41,0.633,20.6,18,41,0.512,21,0.615,8,"CFSB Center, Murray, Kentucky",TENNESSEE-MARTIN,UT-Martin,78.0,Home,MURRAY-STATE,Murray State,Murray State,ovc
2020-01-04-20-murray-state,26.1,6,12.8,5,132.8,50.0,12,0.424,59,0.39,23,0.237,14,0.643,9,11,200,96.7,28.9,11,17,59,,4.9,3,0.288,17,0.235,4,37.1,23,0.449,9.7,7,42,0.452,19,0.267,4,"January 4, 2020",46.9,15,4.8,2,96.7,71.1,27,0.642,53,0.604,32,0.321,17,0.765,13,5,200,132.8,50.0,12,18,81,,6.6,4,0.264,14,0.286,4,62.9,39,0.663,15.4,11,39,0.718,28,0.643,9,"CFSB Center, Murray, Kentucky",SOUTHEAST-MISSOURI-STATE,Southeast Missouri State,60.9,Home,MURRAY-STATE,Murray State,Murray State,ovc
2020-01-09-21-jacksonville-state,38.5,10,9.4,3,90.7,71.4,25,0.529,52,0.5,26,0.481,25,0.68,17,5,200,96.0,19.2,5,20,72,,12.0,9,0.288,15,0.2,3,49.2,30,0.564,19.2,15,37,0.622,23,0.667,10,"January 9, 2020",61.9,13,5.4,2,96.0,80.8,21,0.408,60,0.35,21,0.4,24,0.792,19,9,200,90.7,28.6,10,18,68,,9.3,7,0.467,28,0.25,7,50.8,31,0.476,17.5,15,32,0.438,14,0.438,7,"Pete Mathews Coliseum, Jacksonville, Alabama",JACKSONVILLE-STATE,Jacksonville State,75.1,Away,MURRAY-STATE,Murray State,Murray State,ovc
2020-01-11-20-tennessee-tech,53.3,16,3.4,1,103.0,72.0,18,0.567,60,0.5,30,0.267,16,0.813,13,5,200,120.9,31.0,9,11,81,,9.0,6,0.367,22,0.364,8,50.0,27,0.599,11.8,9,38,0.579,22,0.688,11,"January 11, 2020",66.7,16,10.5,4,120.9,69.0,20,0.557,53,0.453,24,0.226,12,0.833,10,14,200,103.0,28.0,7,16,69,,7.5,5,0.453,24,0.458,11,50.0,27,0.588,20.5,15,29,0.448,13,0.176,3,"Eblen Center, Cookeville, Tennessee",TENNESSEE-TECH,Tennessee Tech,67.2,Away,MURRAY-STATE,Murray State,Murray State,ovc
2020-01-16-20-tennessee-martin,70.0,21,15.8,6,84.9,86.5,32,0.548,62,0.484,30,0.355,22,0.727,16,5,200,115.1,36.7,11,19,84,,6.8,5,0.387,24,0.333,8,64.2,43,0.58,13.3,11,38,0.579,22,0.706,12,"January 16, 2020",40.0,8,5.3,2,115.1,63.3,19,0.384,56,0.357,20,0.411,23,0.826,19,11,200,84.9,13.5,5,15,62,,6.8,5,0.321,18,0.167,3,35.8,24,0.463,14.3,11,38,0.447,17,0.312,5,"Skyhawk Arena, Martin, Tennessee",TENNESSEE-MARTIN,UT-Martin,72.7,Away,MURRAY-STATE,Murray State,Murray State,ovc
2020-01-18-17-southeast-missouri-state,56.7,17,5.0,2,116.7,68.8,22,0.663,52,0.577,30,0.769,40,0.675,27,5,225,123.1,23.1,6,30,96,,0.0,0,0.288,15,0.6,9,48.3,28,0.676,17.7,15,37,0.568,21,0.722,13,"January 18, 2020",48.3,14,5.4,2,123.1,76.9,20,0.579,57,0.509,29,0.614,35,0.714,25,15,225,116.7,31.3,10,34,91,,10.3,8,0.298,17,0.471,8,51.7,30,0.618,14.2,12,40,0.525,21,0.211,4,"Show Me Center, Cape Girardeau, Missouri",SOUTHEAST-MISSOURI-STATE,Southeast Missouri State,69.2,Away,MURRAY-STATE,Murray State,Murray State,ovc
2020-01-23-19-murray-state,51.7,15,10.8,4,118.1,71.0,22,0.547,64,0.453,29,0.188,12,0.417,5,6,200,104.2,18.9,7,15,75,,9.7,7,0.453,29,0.414,12,42.6,29,0.538,12.6,10,35,0.486,17,0.7,14,"January 23, 2020",63.0,17,11.4,4,104.2,81.1,30,0.569,58,0.466,27,0.397,23,0.826,19,5,200,118.1,29.0,9,14,85,,5.6,4,0.362,21,0.571,12,57.4,39,0.617,15.0,12,37,0.405,15,0.737,14,"CFSB Center, Murray, Kentucky",BELMONT,Belmont,72.3,Home,MURRAY-STATE,Murray State,Murray State,ovc
2020-01-25-20-murray-state,44.0,11,6.9,2,108.6,72.0,18,0.571,49,0.51,25,0.286,14,0.571,8,9,200,91.4,16.0,4,21,64,,14.3,10,0.245,12,0.5,6,44.0,22,0.575,24.6,18,37,0.514,19,0.571,12,"January 25, 2020",76.0,19,8.1,3,91.4,84.0,21,0.558,52,0.481,25,0.423,22,0.818,18,5,200,108.6,28.0,7,13,76,,12.9,9,0.442,23,0.348,8,56.0,28,0.608,18.5,14,29,0.586,17,0.75,15,"CFSB Center, Murray, Kentucky",TENNESSEE-STATE,Tennessee State,69.6,Home,MURRAY-STATE,Murray State,Murray State,ovc
2020-01-30-20-murray-state,25.0,7,10.0,3,110.6,80.8,21,0.423,71,0.394,28,0.211,15,0.667,10,10,200,106.1,47.6,20,15,70,,13.6,9,0.239,17,0.235,4,60.3,41,0.448,8.3,7,54,0.444,24,0.524,11,"January 30, 2020",37.5,9,7.4,4,106.1,52.4,22,0.573,48,0.5,24,0.479,23,0.783,18,5,200,110.6,19.2,5,14,73,,3.0,2,0.375,18,0.389,7,39.7,27,0.619,17.1,12,30,0.567,17,0.762,16,"CFSB Center, Murray, Kentucky",EASTERN-ILLINOIS,Eastern Illinois,65.5,Home,MURRAY-STATE,Murray State,Murray State,ovc
2020-02-01-20-murray-state,31.6,6,5.6,2,108.8,63.0,17,0.347,62,0.306,19,0.274,17,0.706,12,18,200,80.9,30.8,12,20,55,,10.3,7,0.339,21,0.238,5,43.9,29,0.392,11.5,9,41,0.341,14,0.217,5,"February 1, 2020",42.3,11,17.1,7,80.9,69.2,27,0.536,55,0.473,26,0.4,22,0.682,15,5,200,108.8,37.0,10,19,74,,4.4,3,0.345,19,0.368,7,56.1,37,0.565,17.8,14,36,0.528,19,0.773,17,"CFSB Center, Murray, Kentucky",SOUTHERN-ILLINOIS-EDWARDSVILLE,SIU-Edwardsville,68.3,Home,MURRAY-STATE,Murray State,Murray State,ovc
2020-02-06-19-belmont,54.2,13,7.7,3,95.9,80.0,28,0.459,61,0.393,24,0.164,10,0.8,8,6,200,86.5,31.6,12,14,64,,6.8,5,0.361,22,0.364,8,54.8,40,0.487,25.2,22,39,0.41,16,0.739,17,"February 6, 2020",55.2,16,5.1,2,86.5,68.4,26,0.484,64,0.453,29,0.172,11,0.818,9,7,200,95.9,20.0,7,16,71,,18.9,14,0.391,25,0.16,4,45.2,33,0.513,13.8,11,39,0.641,25,0.708,17,"Curb Event Center, Nashville, Tennessee",MURRAY-STATE,Murray State,74.5,Home,BELMONT,Belmont,Murray State,ovc
2020-02-08-20-tennessee-state,30.8,8,7.7,2,89.0,80.0,24,0.537,54,0.481,26,0.37,20,0.75,15,6,200,100.0,17.2,5,21,73,,11.0,8,0.259,14,0.429,6,49.2,29,0.575,19.3,15,40,0.5,20,0.75,18,"February 8, 2020",55.0,11,15.0,6,100.0,82.8,24,0.471,51,0.392,20,0.451,23,0.739,17,10,200,89.0,20.0,6,22,65,,5.5,4,0.49,25,0.32,8,50.8,30,0.525,21.8,17,26,0.462,12,0.6,15,"Gentry Center Complex, Nashville, Tennessee",TENNESSEE-STATE,Tennessee State,73.2,Away,MURRAY-STATE,Murray State,Murray State,ovc
2020-02-13-21-austin-peay,46.2,12,4.8,2,95.9,80.0,28,0.528,54,0.481,26,0.315,17,0.647,11,7,200,91.9,7.1,2,16,68,,5.4,4,0.259,14,0.357,5,47.6,30,0.548,18.5,14,40,0.525,21,0.72,18,"February 13, 2020",50.0,12,10.0,4,91.9,92.9,26,0.425,60,0.4,24,0.4,24,0.833,20,9,200,95.9,20.0,7,15,71,,9.5,7,0.3,18,0.167,3,52.4,33,0.497,11.3,9,42,0.5,21,0.654,17,"Winfield Dunn Center, Clarksville, Tennessee",MURRAY-STATE,Murray State,73.7,Home,AUSTIN-PEAY,Austin Peay,Murray State,ovc
2020-02-15-17-murray-state,35.0,7,11.8,4,123.2,76.7,23,0.39,59,0.339,20,0.305,18,0.611,11,15,200,82.6,20.0,8,18,57,,4.3,3,0.305,18,0.333,6,44.3,31,0.422,14.1,11,41,0.341,14,0.444,12,"February 15, 2020",51.7,15,12.2,5,82.6,80.0,32,0.609,55,0.527,29,0.436,24,0.75,18,7,200,123.2,23.3,7,18,85,,4.3,3,0.382,21,0.429,9,55.7,39,0.64,12.1,9,34,0.588,20,0.731,19,"CFSB Center, Murray, Kentucky",MOREHEAD-STATE,Morehead State,69.5,Home,MURRAY-STATE,Murray State,Murray State,ovc
2020-02-20-20-eastern-illinois,52.2,12,14.3,5,91.3,77.1,27,0.472,53,0.434,23,0.283,15,0.667,10,8,200,87.0,19.4,6,13,60,,11.6,8,0.245,13,0.308,4,50.0,33,0.499,21.2,16,40,0.475,19,0.704,19,"February 20, 2020",34.6,9,12.5,5,87.0,80.6,25,0.492,61,0.426,26,0.049,3,1.0,3,14,200,91.3,22.9,8,15,63,,11.6,8,0.426,26,0.308,8,50.0,33,0.505,18.3,14,35,0.514,18,0.481,13,"Lantz Arena, Charleston, Illinois",MURRAY-STATE,Murray State,69.3,Home,EASTERN-ILLINOIS,Eastern Illinois,Murray State,ovc
2020-02-22-15-southern-illinois-edwardsville,65.0,13,13.9,5,84.1,80.8,21,0.461,51,0.392,20,0.471,24,0.5,12,8,200,85.5,22.9,8,22,59,,11.6,8,0.412,21,0.333,7,47.5,29,0.473,18.5,14,30,0.433,13,0.714,20,"February 22, 2020",60.0,12,3.3,1,85.5,77.1,27,0.42,50,0.4,20,0.44,22,0.727,16,22,200,84.1,19.2,5,20,58,,8.7,6,0.28,14,0.143,2,52.5,32,0.48,20.1,15,36,0.5,18,0.241,7,"Sam Vadalabene Center , Edwardsville, Illinois",SOUTHERN-ILLINOIS-EDWARDSVILLE,SIU-Edwardsville,69.4,Away,MURRAY-STATE,Murray State,Murray State,ovc
2020-02-27-20-murray-state,22.7,5,6.4,3,93.7,71.1,27,0.385,61,0.361,22,0.344,21,0.714,15,16,200,78.5,20.9,9,23,62,,7.6,6,0.328,20,0.15,3,44.4,36,0.437,18.6,16,41,0.463,19,0.467,14,"February 27, 2020",37.5,9,17.1,7,78.5,79.1,34,0.433,60,0.4,24,0.533,32,0.688,22,8,200,93.7,28.9,11,19,74,,13.9,11,0.217,13,0.308,4,55.6,45,0.492,16.8,15,47,0.426,20,0.724,21,"CFSB Center, Murray, Kentucky",EASTERN-KENTUCKY,Eastern Kentucky,78.6,Home,MURRAY-STATE,Murray State,Murray State,ovc
2020-02-29-20-murray-state,22.7,5,5.6,2,108.7,75.0,21,0.445,55,0.4,22,0.382,21,0.571,12,11,200,88.4,28.9,11,20,61,,8.7,6,0.309,17,0.294,5,48.5,32,0.469,17.9,14,38,0.447,17,0.645,20,"February 29, 2020",51.9,14,2.6,1,88.4,71.1,27,0.587,52,0.519,27,0.404,21,0.667,14,8,200,108.7,25.0,7,18,75,,10.1,7,0.308,16,0.438,7,51.5,34,0.605,19.7,15,36,0.556,20,0.733,22,"CFSB Center, Murray, Kentucky",AUSTIN-PEAY,Austin Peay,69.0,Home,MURRAY-STATE,Murray State,Murray State,ovc
2020-03-06-22-murray-state,37.5,9,6.7,3,110.6,60.6,20,0.443,61,0.393,24,0.23,14,0.5,7,12,200,92.4,30.0,12,17,61,,7.6,5,0.295,18,0.333,6,43.8,32,0.451,14.1,11,43,0.419,18,0.636,21,"March 6, 2020",55.6,15,14.0,6,92.4,70.0,28,0.5,61,0.443,27,0.262,16,0.75,12,8,200,110.6,39.4,13,14,73,,15.2,10,0.262,16,0.438,7,56.2,41,0.532,12.8,10,45,0.444,20,0.742,23,"Ford Center, Evansville, Indiana",AUSTIN-PEAY,Austin Peay,66.1,Home,MURRAY-STATE,Murray State,Murray State,ovc
2020-03-07-20-belmont,67.9,19,14.0,6,107.0,73.3,22,0.525,59,0.475,28,0.271,16,0.813,13,9,200,105.6,22.6,7,15,75,,2.8,2,0.288,17,0.353,6,47.5,29,0.563,13.2,10,42,0.524,22,0.719,23,"March 7, 2020",50.0,15,7.1,3,105.6,77.4,24,0.508,64,0.469,30,0.234,15,0.733,11,7,200,107.0,26.7,8,14,76,,5.6,4,0.328,21,0.238,5,52.5,32,0.534,12.4,10,43,0.581,25,0.788,26,"Ford Center, Evansville, Indiana",MURRAY-STATE,Murray State,71.4,Home,BELMONT,Belmont,Murray State,ovc
