,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf
2019-12-17-19-ohio-state,31.3,5,0.0,0,112.7,73.7,14,0.3,60,0.267,16,0.233,14,0.857,12,8,200,67.6,17.1,7,17,48,,4.2,3,0.317,19,0.211,4,35.0,21,0.36,14.3,11,41,0.293,12,0.273,3,"December 17, 2019",76.7,23,14.6,6,67.6,82.9,34,0.716,51,0.588,30,0.235,12,0.583,7,1,200,112.7,26.3,5,16,80,5,5.6,4,0.529,27,0.481,13,65.0,39,0.705,26.2,20,24,0.708,17,0.909,10,"Value City Arena, Columbus, Ohio",SOUTHEAST-MISSOURI-STATE,Southeast Missouri State,71.2,Home,OHIO-STATE,Ohio State,Southeast Missouri State,ovc
2019-12-21-16-southern-illinois,41.2,7,3.2,1,108.5,66.7,22,0.382,51,0.333,17,0.196,10,0.6,6,9,200,76.3,28.6,10,15,45,,8.5,5,0.294,15,0.333,5,47.1,32,0.404,21.3,15,36,0.333,12,0.25,3,"December 21, 2019",69.6,16,2.8,1,76.3,71.4,25,0.5,54,0.426,23,0.259,14,0.714,10,7,200,108.5,33.3,11,16,64,,10.2,6,0.426,23,0.348,8,52.9,36,0.528,11.7,8,31,0.484,15,0.462,6,"The SIU Arena, Carbondale, Illinois",SOUTHEAST-MISSOURI-STATE,Southeast Missouri State,59.2,Home,SOUTHERN-ILLINOIS,Southern Illinois,Southeast Missouri State,ovc
2019-12-29-17-southeast-missouri-state,40.0,10,2.9,1,100.0,83.9,26,0.405,63,0.397,25,0.175,11,0.727,8,0,200,79.7,12.1,4,17,59,,5.4,4,0.222,14,0.071,1,46.9,30,0.432,11.7,9,49,0.49,24,0.0,0,"December 29, 2019",68.0,17,8.2,4,79.7,87.9,29,0.5,56,0.446,25,0.482,27,0.667,18,9,200,100.0,16.1,5,14,74,,8.1,6,0.393,22,0.273,6,53.1,34,0.538,13.9,11,34,0.559,19,0.308,4,"Show Me Center, Cape Girardeau, Missouri","Missouri Baptist University
			","Missouri Baptist University
			",74.0,Home,SOUTHEAST-MISSOURI-STATE,Southeast Missouri State,Southeast Missouri State,ovc
2020-01-02-20-austin-peay,50.0,12,9.4,3,121.9,54.2,13,0.509,54,0.444,24,0.185,10,0.8,8,10,200,98.4,13.3,4,20,63,,9.4,6,0.352,19,0.368,7,31.5,17,0.536,15.9,11,35,0.486,17,0.286,4,"January 2, 2020",63.0,17,11.4,4,98.4,86.7,26,0.591,55,0.491,27,0.327,18,0.722,13,7,200,121.9,45.8,11,13,78,,4.7,3,0.418,23,0.478,11,68.5,37,0.614,13.7,10,32,0.5,16,0.5,7,"Winfield Dunn Center, Clarksville, Tennessee",SOUTHEAST-MISSOURI-STATE,Southeast Missouri State,64.2,Home,AUSTIN-PEAY,Austin Peay,Southeast Missouri State,ovc
2020-01-04-20-murray-state,26.1,6,12.8,5,132.8,50.0,12,0.424,59,0.39,23,0.237,14,0.643,9,11,200,96.7,28.9,11,17,59,,4.9,3,0.288,17,0.235,4,37.1,23,0.449,9.7,7,42,0.452,19,0.267,4,"January 4, 2020",46.9,15,4.8,2,96.7,71.1,27,0.642,53,0.604,32,0.321,17,0.765,13,5,200,132.8,50.0,12,18,81,,6.6,4,0.264,14,0.286,4,62.9,39,0.663,15.4,11,39,0.718,28,0.643,9,"CFSB Center, Murray, Kentucky",SOUTHEAST-MISSOURI-STATE,Southeast Missouri State,60.9,Home,MURRAY-STATE,Murray State,Southeast Missouri State,ovc
2020-01-09-20-southeast-missouri-state,71.1,27,5.3,2,94.1,75.8,25,0.697,61,0.623,38,0.098,6,0.667,4,5,200,130.9,18.2,4,15,89,,5.9,4,0.311,19,0.474,9,52.7,29,0.697,12.4,9,42,0.69,29,0.688,11,"January 9, 2020",33.3,8,7.1,3,130.9,81.8,18,0.446,56,0.429,24,0.286,16,0.875,14,12,200,94.1,24.2,8,12,64,,4.4,3,0.321,18,0.111,2,47.3,26,0.503,14.9,11,38,0.579,22,0.25,4,"Show Me Center, Cape Girardeau, Missouri",SOUTHEAST-MISSOURI-STATE,Southeast Missouri State,67.7,Away,BELMONT,Belmont,Southeast Missouri State,ovc
2020-01-11-17-southeast-missouri-state,46.2,12,12.5,4,104.3,66.7,18,0.535,57,0.456,26,0.298,17,0.824,14,6,200,107.1,30.0,9,17,75,,11.4,8,0.368,21,0.429,9,47.4,27,0.576,17.8,14,36,0.472,17,0.647,11,"January 11, 2020",44.0,11,5.6,2,107.1,70.0,21,0.547,53,0.472,25,0.396,21,0.714,15,13,200,104.3,33.3,9,15,73,,4.3,3,0.396,21,0.381,8,52.6,30,0.58,20.4,16,32,0.531,17,0.235,4,"Show Me Center, Cape Girardeau, Missouri",SOUTHEAST-MISSOURI-STATE,Southeast Missouri State,70.0,Away,TENNESSEE-STATE,Tennessee State,Southeast Missouri State,ovc
2020-01-16-20-southeast-missouri-state,68.8,22,9.1,3,89.4,75.0,24,0.667,54,0.593,32,0.333,18,0.667,12,7,200,127.3,33.3,8,22,84,,4.5,3,0.296,16,0.5,8,57.1,32,0.671,16.2,12,38,0.632,24,0.611,11,"January 16, 2020",81.0,17,5.3,2,127.3,66.7,16,0.481,52,0.404,21,0.365,19,0.474,9,14,200,89.4,25.0,8,19,59,,3.0,2,0.365,19,0.421,8,42.9,24,0.483,16.6,12,33,0.394,13,0.222,4,"Show Me Center, Cape Girardeau, Missouri",SOUTHEAST-MISSOURI-STATE,Southeast Missouri State,65.8,Away,AUSTIN-PEAY,Austin Peay,Southeast Missouri State,ovc
2020-01-18-17-southeast-missouri-state,56.7,17,5.0,2,116.7,68.8,22,0.663,52,0.577,30,0.769,40,0.675,27,5,225,123.1,23.1,6,30,96,,0.0,0,0.288,15,0.6,9,48.3,28,0.676,17.7,15,37,0.568,21,0.722,13,"January 18, 2020",48.3,14,5.4,2,123.1,76.9,20,0.579,57,0.509,29,0.614,35,0.714,25,15,225,116.7,31.3,10,34,91,,10.3,8,0.298,17,0.471,8,51.7,30,0.618,14.2,12,40,0.525,21,0.211,4,"Show Me Center, Cape Girardeau, Missouri",SOUTHEAST-MISSOURI-STATE,Southeast Missouri State,69.2,Away,MURRAY-STATE,Murray State,Southeast Missouri State,ovc
2020-01-23-20-southern-illinois-edwardsville,59.1,13,3.8,2,120.0,68.6,24,0.473,55,0.4,22,0.345,19,0.684,13,16,200,92.9,14.7,5,19,65,,4.3,3,0.455,25,0.32,8,42.0,29,0.508,14.8,11,30,0.467,14,0.2,4,"January 23, 2020",54.3,19,10.0,3,92.9,85.3,29,0.551,68,0.515,35,0.206,14,0.643,9,15,200,120.0,31.4,11,15,84,,5.7,4,0.235,16,0.313,5,58.0,40,0.563,8.6,7,52,0.577,30,0.25,5,"Sam Vadalabene Center , Edwardsville, Illinois",SOUTHEAST-MISSOURI-STATE,Southeast Missouri State,70.3,Home,SOUTHERN-ILLINOIS-EDWARDSVILLE,SIU-Edwardsville,Southeast Missouri State,ovc
2020-01-25-16-eastern-illinois,39.1,9,2.9,1,87.1,89.7,26,0.386,66,0.348,23,0.212,14,0.571,8,17,200,84.3,27.5,11,22,59,,12.9,9,0.288,19,0.263,5,53.6,37,0.406,13.2,11,47,0.383,18,0.19,4,"January 25, 2020",26.1,6,23.4,11,84.3,72.5,29,0.558,43,0.535,23,0.651,28,0.464,13,9,200,87.1,10.3,3,14,61,,11.4,8,0.209,9,0.222,2,46.4,32,0.542,20.2,14,34,0.618,21,0.55,11,"Lantz Arena, Charleston, Illinois",SOUTHEAST-MISSOURI-STATE,Southeast Missouri State,70.0,Home,EASTERN-ILLINOIS,Eastern Illinois,Southeast Missouri State,ovc
2020-01-30-19-morehead-state,32.0,8,16.2,6,136.4,60.0,18,0.518,57,0.439,25,0.333,19,0.789,15,18,200,112.1,24.2,8,20,74,,1.5,1,0.386,22,0.409,9,41.3,26,0.56,12.1,9,35,0.457,16,0.182,4,"January 30, 2020",74.2,23,17.1,6,112.1,75.8,25,0.598,61,0.508,31,0.328,20,0.85,17,12,200,136.4,40.0,12,21,90,,4.5,3,0.393,24,0.458,11,58.7,37,0.638,9.1,7,37,0.541,20,0.455,10,"Ellis T. Johnson Arena, Morehead, Kentucky",SOUTHEAST-MISSOURI-STATE,Southeast Missouri State,66.3,Home,MOREHEAD-STATE,Morehead State,Southeast Missouri State,ovc
2020-02-01-16-eastern-kentucky,68.4,13,3.3,1,95.9,78.4,29,0.413,52,0.365,19,0.404,21,0.667,14,19,200,78.1,19.4,7,17,57,,8.2,6,0.346,18,0.278,5,49.3,36,0.46,22.7,18,34,0.412,14,0.174,4,"February 1, 2020",54.2,13,8.8,3,78.1,80.6,29,0.468,62,0.387,24,0.274,17,0.706,12,12,200,95.9,21.6,8,16,70,,17.8,13,0.516,32,0.313,10,50.7,37,0.499,13.7,11,30,0.467,14,0.478,11,"McBrayer Arena, Richmond, Kentucky",SOUTHEAST-MISSOURI-STATE,Southeast Missouri State,73.0,Home,EASTERN-KENTUCKY,Eastern Kentucky,Southeast Missouri State,ovc
2020-02-06-20-southeast-missouri-state,44.4,12,5.9,2,100.0,83.3,20,0.463,68,0.397,27,0.191,13,0.692,9,15,200,94.7,28.9,11,17,72,,6.6,5,0.412,28,0.321,9,50.0,31,0.485,14.0,12,40,0.45,18,0.375,9,"February 6, 2020",55.2,16,0.0,0,94.7,71.1,27,0.647,51,0.569,29,0.333,17,0.588,10,19,200,100.0,16.7,4,14,76,,3.9,3,0.333,17,0.471,8,50.0,31,0.643,26.4,21,34,0.618,21,0.208,5,"Show Me Center, Cape Girardeau, Missouri",JACKSONVILLE-STATE,Jacksonville State,75.6,Home,SOUTHEAST-MISSOURI-STATE,Southeast Missouri State,Southeast Missouri State,ovc
2020-02-08-17-southeast-missouri-state,52.4,11,5.3,2,89.6,75.8,25,0.532,47,0.447,21,0.34,16,0.75,12,19,200,92.5,17.4,4,19,62,,7.5,5,0.383,18,0.444,8,51.8,29,0.568,25.0,18,29,0.448,13,0.24,6,"February 8, 2020",60.9,14,13.8,4,92.5,82.6,19,0.491,53,0.434,23,0.283,15,0.533,8,20,200,89.6,24.2,8,18,60,,9.0,6,0.283,15,0.4,6,48.2,27,0.499,19.0,14,38,0.447,17,0.2,5,"Show Me Center, Cape Girardeau, Missouri",SOUTHEAST-MISSOURI-STATE,Southeast Missouri State,67.4,Away,TENNESSEE-TECH,Tennessee Tech,Southeast Missouri State,ovc
2020-02-13-20-southeast-missouri-state,58.3,14,0.0,0,105.7,64.5,20,0.519,54,0.444,24,0.315,17,0.941,16,17,200,102.9,22.2,6,17,72,,11.4,8,0.333,18,0.444,8,44.8,26,0.58,18.5,14,36,0.444,16,0.292,7,"February 13, 2020",62.5,15,8.3,3,102.9,77.8,21,0.518,55,0.436,24,0.345,19,0.895,17,20,200,105.7,35.5,11,19,74,,7.1,5,0.527,29,0.31,9,55.2,32,0.578,20.2,16,26,0.577,15,0.231,6,"Show Me Center, Cape Girardeau, Missouri",TENNESSEE-MARTIN,UT-Martin,69.6,Home,SOUTHEAST-MISSOURI-STATE,Southeast Missouri State,Southeast Missouri State,ovc
2020-02-15-17-southeast-missouri-state,47.8,11,10.3,3,104.2,76.7,23,0.459,61,0.377,23,0.361,22,0.682,15,20,200,98.6,29.4,10,22,71,,6.9,5,0.426,26,0.385,10,51.6,33,0.497,14.5,12,35,0.371,13,0.259,7,"February 15, 2020",63.2,12,11.4,4,98.6,70.6,24,0.442,52,0.365,19,0.692,36,0.806,29,20,200,104.2,23.3,7,17,75,,9.7,7,0.442,23,0.348,8,48.4,31,0.543,10.5,8,29,0.379,11,0.259,7,"Show Me Center, Cape Girardeau, Missouri",SOUTHERN-ILLINOIS-EDWARDSVILLE,SIU-Edwardsville,71.8,Home,SOUTHEAST-MISSOURI-STATE,Southeast Missouri State,Southeast Missouri State,ovc
2020-02-20-20-jacksonville-state,52.4,11,0.0,0,97.0,69.7,23,0.5,49,0.429,21,0.265,13,0.692,9,21,200,86.6,8.0,2,20,58,,4.5,3,0.429,21,0.333,7,43.1,25,0.526,22.6,16,28,0.5,14,0.25,7,"February 20, 2020",57.1,12,10.7,3,86.6,92.0,23,0.417,54,0.389,21,0.5,27,0.741,20,17,200,97.0,30.3,10,14,65,,9.0,6,0.315,17,0.176,3,56.9,33,0.486,10.8,8,37,0.486,18,0.393,11,"Pete Mathews Coliseum, Jacksonville, Alabama",SOUTHEAST-MISSOURI-STATE,Southeast Missouri State,67.0,Home,JACKSONVILLE-STATE,Jacksonville State,Southeast Missouri State,ovc
2020-02-22-17-tennessee-tech,66.7,14,6.7,2,109.2,82.6,19,0.408,60,0.35,21,0.267,16,0.813,13,22,200,95.4,33.3,12,13,62,,4.6,3,0.4,24,0.292,7,52.5,31,0.459,11.8,9,36,0.389,14,0.241,7,"February 22, 2020",61.5,16,8.3,3,95.4,66.7,24,0.587,52,0.5,26,0.231,12,0.833,10,20,200,109.2,17.4,4,11,71,,10.8,7,0.423,22,0.409,9,47.5,28,0.615,17.3,12,30,0.567,17,0.31,9,"Eblen Center, Cookeville, Tennessee",SOUTHEAST-MISSOURI-STATE,Southeast Missouri State,65.2,Home,TENNESSEE-TECH,Tennessee Tech,Southeast Missouri State,ovc
2020-02-27-20-southeast-missouri-state,48.3,14,9.5,4,95.9,71.9,23,0.47,67,0.433,29,0.194,13,0.692,9,14,200,98.6,25.0,9,17,72,,5.5,4,0.299,20,0.25,5,47.1,32,0.492,8.8,7,47,0.511,24,0.517,15,"February 27, 2020",56.0,14,4.3,2,98.6,75.0,27,0.444,62,0.403,25,0.306,19,0.789,15,23,200,95.9,28.1,9,18,70,,6.8,5,0.323,20,0.25,5,52.9,36,0.493,15.6,13,42,0.476,20,0.233,7,"Show Me Center, Cape Girardeau, Missouri",SOUTHEAST-MISSOURI-STATE,Southeast Missouri State,73.1,Away,EASTERN-ILLINOIS,Eastern Illinois,Southeast Missouri State,ovc
2020-02-29-17-tennessee-martin,65.5,19,0.0,0,122.5,67.9,19,0.516,64,0.453,29,0.281,18,0.667,12,24,200,109.9,27.0,10,22,78,,4.2,3,0.406,26,0.308,8,44.6,29,0.538,11.1,9,38,0.553,21,0.226,7,"February 29, 2020",53.3,16,5.3,2,109.9,73.0,27,0.6,55,0.545,30,0.545,30,0.7,21,20,200,122.5,32.1,9,18,87,,4.2,3,0.4,22,0.273,6,55.4,36,0.628,12.8,10,33,0.727,24,0.31,9,"Skyhawk Arena, Martin, Tennessee",SOUTHEAST-MISSOURI-STATE,Southeast Missouri State,70.9,Home,TENNESSEE-MARTIN,UT-Martin,Southeast Missouri State,ovc
