,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf
2019-12-10-21-utah-state,33.3,7,6.5,3,125.3,50.0,21,0.373,63,0.333,21,0.143,9,0.222,2,0,200,65.3,11.4,5,19,49,,13.3,10,0.444,28,0.179,5,30.2,26,0.364,16.3,13,35,0.457,16,0.0,0,"December 10, 2019",57.1,20,11.4,4,65.3,88.6,39,0.532,77,0.455,35,0.208,16,0.75,12,1,200,125.3,50.0,21,9,94,,9.3,7,0.403,31,0.387,12,69.8,60,0.556,12.5,12,46,0.5,23,0.909,10,"Dee Glen Smith Spectrum, Logan, Utah","St. Katherine
			","St. Katherine
			",75.4,Home,UTAH-STATE,Utah State,Utah State,mwc
2019-12-14-20-brigham-young,45.5,10,12.9,4,106.3,81.3,26,0.455,55,0.4,22,0.291,16,0.875,14,2,200,100.0,28.1,9,13,64,,3.1,2,0.382,21,0.286,6,54.7,35,0.511,15.1,11,34,0.471,16,0.833,10,"December 14, 2019",53.6,15,8.8,3,100.0,71.9,23,0.568,59,0.475,28,0.051,3,0.333,1,4,200,106.3,18.8,6,13,68,,7.8,5,0.475,28,0.393,11,45.3,29,0.563,13.0,9,31,0.548,17,0.692,9,"Vivint Smart Home Arena, Salt Lake City, Utah",UTAH-STATE,Utah State,64.0,Home,BRIGHAM-YOUNG,BYU,Utah State,mwc
2019-12-18-19-south-florida,57.7,15,2.3,1,104.2,70.0,21,0.588,51,0.51,26,0.451,23,0.696,16,2,225,107.0,27.6,8,19,76,,1.4,1,0.471,24,0.333,8,49.2,29,0.614,21.8,17,27,0.667,18,0.846,11,"December 18, 2019",32.1,9,3.7,1,107.0,72.4,21,0.508,60,0.467,28,0.3,18,0.722,13,5,225,104.2,30.0,9,25,74,,11.3,8,0.283,17,0.294,5,50.8,30,0.54,13.9,11,43,0.535,23,0.545,6,"Toyota Center, Houston, Texas",SOUTH-FLORIDA,South Florida,62.9,Away,UTAH-STATE,Utah State,Utah State,mwc
2019-12-21-14-florida,79.2,19,6.7,3,91.2,59.5,25,0.538,53,0.453,24,0.208,11,0.727,8,2,200,95.6,22.2,6,17,65,,7.4,5,0.472,25,0.36,9,44.9,31,0.558,20.6,15,28,0.536,15,0.857,12,"December 21, 2019",40.0,8,10.7,3,95.6,77.8,21,0.355,62,0.323,20,0.355,22,0.818,18,4,200,91.2,40.5,17,17,62,,11.8,8,0.274,17,0.235,4,55.1,38,0.428,15.4,13,45,0.356,16,0.636,7,"BB&T Center, Sunrise, Florida",FLORIDA,Florida,67.8,Away,UTAH-STATE,Utah State,Utah State,mwc
2019-12-28-16-utah-state,56.5,13,3.6,2,135.8,56.8,21,0.38,71,0.324,23,0.127,9,0.778,7,0,200,64.2,2.3,1,24,61,,5.3,5,0.507,36,0.222,8,27.5,22,0.405,22.7,22,35,0.429,15,0.0,0,"December 28, 2019",78.3,36,20.0,7,64.2,97.7,42,0.639,79,0.582,46,0.456,36,0.778,28,2,200,135.8,43.2,16,13,129,,16.8,16,0.291,23,0.391,9,72.5,58,0.671,12.1,13,56,0.661,37,0.867,13,"Dee Glen Smith Spectrum, Logan, Utah","Eastern Oregon
			","Eastern Oregon
			",94.7,Home,UTAH-STATE,Utah State,Utah State,mwc
2020-01-01-23-nevada-las-vegas,47.1,8,8.1,3,104.5,56.7,17,0.346,52,0.327,17,0.404,21,0.81,17,3,200,79.1,25.7,9,19,53,,7.5,5,0.365,19,0.105,2,40.0,26,0.428,19.7,15,33,0.455,15,0.812,13,"January 1, 2020",52.0,13,21.2,7,79.1,74.3,26,0.491,56,0.446,25,0.375,21,0.714,15,8,200,104.5,43.3,13,21,70,,11.9,8,0.339,19,0.263,5,60.0,39,0.531,17.7,14,37,0.541,20,0.467,7,"Thomas & Mack Center, Las Vegas, Nevada",UTAH-STATE,Utah State,67.5,Home,NEVADA-LAS-VEGAS,UNLV,Utah State,mwc
2020-01-04-22-utah-state,48.1,13,6.5,2,98.6,75.8,25,0.594,53,0.509,27,0.321,17,0.824,14,0,200,111.6,22.2,6,20,77,13,7.2,5,0.377,20,0.45,9,51.7,31,0.63,18.8,14,33,0.545,18,1.0,15,"January 4, 2020",69.6,16,15.2,5,111.6,77.8,21,0.481,54,0.426,23,0.444,24,0.667,16,4,200,98.6,24.2,8,16,68,,10.1,7,0.426,23,0.261,6,48.3,29,0.52,14.6,11,31,0.548,17,0.765,13,"Dee Glen Smith Spectrum, Logan, Utah",UTAH-STATE,Utah State,68.7,Away,SAN-DIEGO-STATE,San Diego State,Utah State,mwc
2020-01-07-23-air-force,56.5,13,2.8,1,114.5,63.6,21,0.444,63,0.365,23,0.127,8,0.5,4,5,200,87.0,16.7,7,19,60,,7.2,5,0.444,28,0.357,10,37.3,28,0.449,11.9,9,35,0.371,13,0.722,13,"January 7, 2020",51.7,15,5.7,2,87.0,83.3,35,0.541,61,0.475,29,0.279,17,0.765,13,8,200,114.5,36.4,12,15,79,,5.8,4,0.41,25,0.32,8,62.7,47,0.572,14.9,12,36,0.583,21,0.5,8,"Clune Arena , Colorado Springs, Colorado",UTAH-STATE,Utah State,68.9,Home,AIR-FORCE,Air Force,Utah State,mwc
2020-01-11-20-utah-state,52.2,12,13.3,4,112.7,66.7,20,0.475,59,0.39,23,0.339,20,0.7,14,7,200,98.6,14.3,5,25,70,,9.9,7,0.39,23,0.435,10,38.5,25,0.511,10.6,8,36,0.361,13,0.588,10,"January 11, 2020",80.0,20,5.6,2,98.6,85.7,30,0.528,54,0.463,25,0.556,30,0.767,23,5,200,112.7,33.3,10,15,80,,2.8,2,0.444,24,0.292,7,61.5,40,0.586,16.2,13,30,0.6,18,0.737,14,"Dee Glen Smith Spectrum, Logan, Utah",NEVADA,Nevada,71.4,Home,UTAH-STATE,Utah State,Utah State,mwc
2020-01-18-22-boise-state,50.0,13,3.1,1,106.0,85.7,24,0.46,63,0.413,26,0.524,33,0.758,25,6,225,100.0,36.1,13,27,83,,6.0,5,0.444,28,0.214,6,57.8,37,0.527,18.8,18,35,0.571,20,0.7,14,"January 18, 2020",38.5,10,5.7,2,100.0,63.9,23,0.545,56,0.464,26,0.607,34,0.794,27,8,225,106.0,14.3,4,29,88,,12.0,10,0.429,24,0.375,9,42.2,27,0.61,17.4,15,32,0.531,17,0.6,12,"ExtraMile Arena, Boise, Idaho",UTAH-STATE,Utah State,74.1,Home,BOISE-STATE,Boise State,Utah State,mwc
2020-01-21-23-utah-state,33.3,5,0.0,0,105.9,70.6,24,0.324,51,0.294,15,0.51,26,0.538,14,11,200,69.1,20.9,9,17,47,,7.4,5,0.373,19,0.158,3,42.9,33,0.371,17.2,13,32,0.375,12,0.45,9,"January 21, 2020",60.0,15,6.3,2,69.1,79.1,34,0.484,61,0.41,25,0.262,16,0.813,13,6,200,105.9,29.4,10,22,72,,13.2,9,0.459,28,0.321,9,57.1,44,0.525,12.8,10,33,0.485,16,0.714,15,"Dee Glen Smith Spectrum, Logan, Utah",AIR-FORCE,Air Force,68.0,Home,UTAH-STATE,Utah State,Utah State,mwc
2020-01-25-22-utah-state,45.5,10,9.1,3,116.7,73.7,14,0.432,59,0.373,22,0.22,13,0.769,10,8,200,92.4,24.2,8,14,61,,9.1,6,0.407,24,0.292,7,42.3,22,0.468,12.2,9,35,0.429,15,0.636,14,"January 25, 2020",69.0,20,14.3,5,92.4,75.8,25,0.663,49,0.592,29,0.327,16,0.75,12,6,200,116.7,26.3,5,14,77,,4.5,3,0.327,16,0.438,7,57.7,30,0.68,20.0,14,33,0.667,22,0.727,16,"Dee Glen Smith Spectrum, Logan, Utah",COLORADO-STATE,Colorado State,65.9,Home,UTAH-STATE,Utah State,Utah State,mwc
2020-01-28-23-wyoming,54.2,13,5.0,1,73.8,88.6,31,0.539,51,0.471,24,0.275,14,0.929,13,6,200,111.5,29.2,7,16,68,,9.8,6,0.451,23,0.304,7,64.4,38,0.59,16.1,11,28,0.607,17,0.739,17,"January 28, 2020",60.0,9,7.1,2,111.5,70.8,17,0.37,50,0.3,15,0.18,9,0.889,8,17,200,73.8,11.4,4,19,45,,9.8,6,0.6,30,0.233,7,35.6,21,0.415,15.6,10,20,0.4,8,0.227,5,"Arena-Auditorium, Laramie, Wyoming",WYOMING,Wyoming,61.0,Away,UTAH-STATE,Utah State,Utah State,mwc
2020-02-01-22-san-diego-state,76.0,19,15.0,3,125.0,76.9,20,0.546,54,0.463,25,0.185,10,0.9,9,7,200,106.3,15.4,4,19,68,,4.7,3,0.389,21,0.429,9,46.2,24,0.579,14.6,10,33,0.485,16,0.708,17,"February 1, 2020",56.0,14,6.1,2,106.3,84.6,22,0.615,52,0.481,25,0.365,19,0.842,16,0,200,125.0,23.1,6,14,80,4,10.9,7,0.615,32,0.438,14,53.8,28,0.655,11.7,8,20,0.55,11,1.0,23,"Viejas Arena, San Diego, California",UTAH-STATE,Utah State,63.9,Home,SAN-DIEGO-STATE,San Diego State,Utah State,mwc
2020-02-05-22-utah-state,35.0,7,6.3,2,103.0,80.0,20,0.423,52,0.385,20,0.25,13,0.769,10,13,200,80.6,10.0,3,18,54,,14.9,10,0.288,15,0.267,4,41.8,23,0.464,19.5,14,37,0.432,16,0.458,11,"February 5, 2020",79.2,19,5.4,2,80.6,90.0,27,0.563,48,0.5,24,0.417,20,0.75,15,7,200,103.0,20.0,5,14,69,,13.4,9,0.333,16,0.375,6,58.2,32,0.6,17.4,12,32,0.563,18,0.72,18,"Dee Glen Smith Spectrum, Logan, Utah",NEVADA-LAS-VEGAS,UNLV,66.8,Home,UTAH-STATE,Utah State,Utah State,mwc
2020-02-08-22-utah-state,50.0,11,3.2,1,101.4,65.6,21,0.403,62,0.355,22,0.306,19,0.579,11,9,200,88.4,16.3,7,27,61,,5.8,4,0.468,29,0.207,6,37.3,28,0.429,7.9,6,33,0.485,16,0.64,16,"February 8, 2020",63.2,12,24.2,8,88.4,83.7,36,0.4,50,0.38,19,0.7,35,0.857,30,7,200,101.4,34.4,11,21,70,,2.9,2,0.38,19,0.105,2,62.7,47,0.525,15.5,12,31,0.548,17,0.731,19,"Dee Glen Smith Spectrum, Logan, Utah",BOISE-STATE,Boise State,68.8,Home,UTAH-STATE,Utah State,Utah State,mwc
2020-02-11-21-colorado-state,51.6,16,8.3,3,112.5,72.4,21,0.573,62,0.5,31,0.065,4,1.0,4,7,200,117.2,25.9,7,11,75,,9.4,6,0.435,27,0.333,9,50.0,28,0.587,11.1,8,35,0.629,22,0.741,20,"February 11, 2020",53.3,16,14.3,5,117.2,74.1,20,0.586,58,0.517,30,0.138,8,0.5,4,9,200,112.5,27.6,8,10,72,,6.3,4,0.379,22,0.364,8,50.0,28,0.583,14.0,10,36,0.611,22,0.654,17,"Moby Arena, Fort Collins, Colorado",COLORADO-STATE,Colorado State,64.4,Away,UTAH-STATE,Utah State,Utah State,mwc
2020-02-15-22-fresno-state,53.8,14,15.0,3,93.7,82.4,28,0.517,59,0.441,26,0.237,14,0.714,10,7,200,112.7,34.3,12,14,71,,7.9,5,0.373,22,0.409,9,58.0,40,0.541,13.3,10,37,0.459,17,0.75,21,"February 15, 2020",60.0,12,13.5,5,112.7,65.7,23,0.491,53,0.377,20,0.245,13,0.538,7,17,200,93.7,17.6,6,14,59,,7.9,5,0.623,33,0.364,12,42.0,29,0.499,13.3,9,20,0.4,8,0.346,9,"Save Mart Center, Fresno, California",FRESNO-STATE,Fresno State,62.9,Away,UTAH-STATE,Utah State,Utah State,mwc
2020-02-19-21-utah-state,52.4,11,5.6,2,108.3,72.4,21,0.439,57,0.368,21,0.193,11,0.727,8,21,200,80.6,8.1,3,20,58,,8.3,6,0.439,25,0.32,8,36.4,24,0.466,17.4,13,32,0.406,13,0.222,6,"February 19, 2020",64.3,18,6.3,2,80.6,91.9,34,0.563,56,0.5,28,0.304,17,0.882,15,7,200,108.3,27.6,8,13,78,,9.7,7,0.357,20,0.35,7,63.6,42,0.609,20.1,16,36,0.583,21,0.759,22,"Dee Glen Smith Spectrum, Logan, Utah",WYOMING,Wyoming,72.2,Home,UTAH-STATE,Utah State,Utah State,mwc
2020-02-25-23-utah-state,52.6,10,2.0,1,117.5,61.1,22,0.373,67,0.284,19,0.119,8,0.75,6,22,200,70.0,13.0,6,14,56,,8.8,7,0.582,39,0.308,12,34.1,28,0.395,17.5,15,28,0.25,7,0.241,7,"February 25, 2020",62.9,22,3.6,1,70.0,87.0,40,0.556,72,0.486,35,0.292,21,0.667,14,7,200,117.5,38.9,14,10,94,,8.8,7,0.292,21,0.476,10,65.9,54,0.573,13.8,13,51,0.49,25,0.767,23,"Dee Glen Smith Spectrum, Logan, Utah",SAN-JOSE-STATE,San Jose State,80.4,Home,UTAH-STATE,Utah State,Utah State,mwc
2020-02-29-22-new-mexico,68.0,17,14.7,5,98.5,80.6,25,0.538,53,0.472,25,0.17,9,0.778,7,8,200,95.5,33.3,8,13,64,,10.4,7,0.358,19,0.368,7,60.0,33,0.559,23.0,17,34,0.529,18,0.742,23,"February 29, 2020",73.1,19,8.8,3,95.5,66.7,16,0.534,58,0.448,26,0.138,8,0.5,4,13,200,98.5,19.4,6,13,66,,14.9,10,0.414,24,0.417,10,40.0,22,0.534,15.2,11,34,0.471,16,0.581,18,"The Pit, Albuquerque, New Mexico",UTAH-STATE,Utah State,66.5,Home,NEW-MEXICO,New Mexico,Utah State,mwc
2020-03-05-21-utah-state,50.0,11,8.6,3,105.6,72.4,21,0.419,62,0.355,22,0.435,27,0.667,18,14,200,98.6,24.4,10,21,70,,11.3,8,0.5,31,0.258,8,44.3,31,0.468,8.7,7,31,0.452,14,0.576,19,"March 5, 2020",40.7,11,3.2,1,98.6,75.6,31,0.557,53,0.509,27,0.415,22,0.727,16,8,200,105.6,27.6,8,21,75,,5.6,4,0.34,18,0.278,5,55.7,39,0.591,19.3,15,35,0.629,22,0.75,24,"Thomas & Mack Center, Las Vegas, Nevada",NEW-MEXICO,New Mexico,71.1,Home,UTAH-STATE,Utah State,Utah State,mwc
2020-03-06-23-utah-state,70.4,19,3.6,1,121.9,75.9,22,0.548,63,0.429,27,0.222,14,0.929,13,24,200,112.3,6.3,2,29,82,,5.5,4,0.524,33,0.455,15,39.3,24,0.589,10.4,8,30,0.4,12,0.273,9,"March 6, 2020",75.0,21,20.0,6,112.3,93.8,30,0.64,50,0.56,28,0.8,40,0.625,25,8,200,121.9,24.1,7,14,89,,6.8,5,0.44,22,0.364,8,60.7,37,0.645,11.7,9,28,0.714,20,0.758,25,"Thomas & Mack Center, Las Vegas, Nevada",WYOMING,Wyoming,73.3,Home,UTAH-STATE,Utah State,Utah State,mwc
2020-03-07-17-san-diego-state,61.9,13,9.5,4,90.3,70.7,29,0.531,48,0.438,21,0.208,10,0.8,8,8,200,95.2,20.0,5,11,59,,9.7,6,0.5,24,0.375,9,51.5,34,0.559,23.4,16,24,0.5,12,0.765,26,"March 7, 2020",47.6,10,8.3,2,95.2,80.0,20,0.385,61,0.344,21,0.164,10,0.9,9,2,200,90.3,29.3,12,14,56,5,12.9,8,0.311,19,0.263,5,48.5,32,0.426,9.7,7,42,0.381,16,0.938,30,"Thomas & Mack Center, Las Vegas, Nevada",SAN-DIEGO-STATE,San Diego State,62.3,Away,UTAH-STATE,Utah State,Utah State,mwc
