,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf
2019-12-11-22-cal-state-northridge,34.6,9,5.3,2,96.9,76.5,26,0.561,57,0.456,26,0.175,10,0.7,7,4,200,110.9,29.0,9,17,71,,9.4,6,0.526,30,0.4,12,53.8,35,0.575,15.2,11,27,0.519,14,0.636,7,"December 11, 2019",37.5,9,7.4,2,110.9,71.0,22,0.457,58,0.414,24,0.207,12,0.75,9,9,200,96.9,23.5,8,16,62,,4.7,3,0.345,20,0.25,5,46.2,30,0.487,12.5,9,38,0.5,19,0.182,2,"The Matadome, Northridge, California",CAL-STATE-NORTHRIDGE,Cal State Northridge,64.2,Away,NORTH-DAKOTA-STATE,North Dakota State,Cal State Northridge,big-west
2019-12-15-18-pacific,44.0,11,8.6,3,116.2,58.1,18,0.594,48,0.521,25,0.479,23,0.696,16,10,200,107.4,13.6,3,17,73,,14.7,10,0.333,16,0.438,7,39.6,21,0.619,18.3,13,32,0.563,18,0.167,2,"December 15, 2019",58.6,17,15.6,5,107.4,86.4,19,0.63,54,0.537,29,0.37,20,0.55,11,3,200,116.2,41.9,13,21,79,,4.4,3,0.352,19,0.526,10,60.4,32,0.622,21.3,17,35,0.543,19,0.769,10,"A.G. Spanos Center, Stockton, California",CAL-STATE-NORTHRIDGE,Cal State Northridge,68.2,Home,PACIFIC,Pacific,Cal State Northridge,big-west
2019-12-22-18-cal-state-northridge,45.0,9,7.0,3,113.3,60.0,24,0.381,59,0.339,20,0.153,9,0.556,5,0,200,66.7,19.4,7,26,50,,6.7,5,0.424,25,0.2,5,40.8,31,0.395,23.2,19,34,0.441,15,0.0,0,"December 22, 2019",53.6,15,17.6,6,66.7,80.6,29,0.492,65,0.431,28,0.446,29,0.724,21,10,200,113.3,40.0,16,15,85,,16.0,12,0.338,22,0.364,8,59.2,45,0.54,12.4,11,43,0.465,20,0.231,3,"The Matadome, Northridge, California","San Francisco State
			","San Francisco State
			",74.5,Home,CAL-STATE-NORTHRIDGE,Cal State Northridge,Cal State Northridge,big-west
2019-12-28-18-boise-state,34.6,9,12.5,5,125.6,71.4,20,0.469,64,0.406,26,0.281,18,0.667,12,11,200,87.8,13.5,5,23,72,,12.2,10,0.453,29,0.276,8,38.5,25,0.496,16.3,14,35,0.514,18,0.214,3,"December 28, 2019",52.8,19,8.6,3,87.8,86.5,32,0.659,63,0.571,36,0.476,30,0.667,20,5,200,125.6,28.6,8,19,103,,6.1,5,0.365,23,0.478,11,61.5,40,0.667,15.5,14,40,0.625,25,0.643,9,"ExtraMile Arena, Boise, Idaho",CAL-STATE-NORTHRIDGE,Cal State Northridge,82.4,Home,BOISE-STATE,Boise State,Cal State Northridge,big-west
2019-12-31-15-cal-state-northridge,31.3,10,2.6,1,125.7,62.5,20,0.538,66,0.485,32,0.197,13,0.846,11,9,200,110.8,36.4,12,24,82,,5.4,4,0.333,22,0.318,7,49.2,32,0.568,16.3,14,44,0.568,25,0.4,6,"December 31, 2019",62.5,20,4.5,2,110.8,63.6,21,0.593,59,0.542,32,0.576,34,0.676,23,11,200,125.7,37.5,12,14,93,,8.1,6,0.339,20,0.3,6,50.8,33,0.619,12.9,11,39,0.667,26,0.267,4,"The Matadome, Northridge, California",MORGAN-STATE,Morgan State,74.2,Home,CAL-STATE-NORTHRIDGE,Cal State Northridge,Cal State Northridge,big-west
2020-01-04-18-cal-state-northridge,48.0,12,4.2,2,132.9,66.7,24,0.518,57,0.439,25,0.439,25,0.64,16,0,200,91.5,15.2,5,26,75,,4.9,4,0.333,19,0.474,9,42.0,29,0.544,21.8,19,38,0.421,16,0.0,0,"January 4, 2020",59.0,23,10.5,4,91.5,84.8,28,0.604,72,0.542,39,0.417,30,0.733,22,11,200,132.9,33.3,12,18,109,,11.0,9,0.333,24,0.375,9,58.0,40,0.632,6.6,6,48,0.625,30,0.312,5,"The Matadome, Northridge, California","St. Katherine
			","St. Katherine
			",81.6,Home,CAL-STATE-NORTHRIDGE,Cal State Northridge,Cal State Northridge,big-west
2020-01-08-22-cal-state-northridge,24.1,7,4.9,2,121.8,76.0,19,0.478,69,0.42,29,0.261,18,0.611,11,12,200,98.7,20.9,9,21,77,,6.4,5,0.29,20,0.4,8,41.2,28,0.496,13.5,12,49,0.429,21,0.294,5,"January 8, 2020",54.3,19,4.1,2,98.7,79.1,34,0.636,59,0.593,35,0.441,26,0.769,20,11,200,121.8,24.0,6,17,95,,6.4,5,0.305,18,0.278,5,58.8,40,0.666,13.5,11,41,0.732,30,0.353,6,"The Matadome, Northridge, California",LONG-BEACH-STATE,Long Beach State,78.5,Home,CAL-STATE-NORTHRIDGE,Cal State Northridge,Cal State Northridge,big-west
2020-01-11-22-cal-poly,52.6,10,4.4,2,100.0,74.2,23,0.396,53,0.358,19,0.377,20,0.7,14,12,200,75.7,8.6,3,21,56,,8.1,6,0.245,13,0.308,4,39.4,26,0.448,18.5,14,40,0.375,15,0.333,6,"January 11, 2020",34.5,10,20.0,8,75.7,91.4,32,0.536,55,0.527,29,0.455,25,0.6,15,12,200,100.0,25.8,8,18,74,,9.5,7,0.182,10,0.1,1,60.6,40,0.553,19.5,16,45,0.622,28,0.25,4,"Robert A. Mott Gymnasium, San Luis Obispo, California",CAL-STATE-NORTHRIDGE,Cal State Northridge,74.2,Home,CAL-POLY,Cal Poly,Cal State Northridge,big-west
2020-01-16-22-california-riverside,41.4,12,9.4,3,98.6,75.0,21,0.6,55,0.527,29,0.364,20,0.7,14,12,200,115.9,19.2,5,16,80,,13.0,9,0.255,14,0.571,8,48.1,26,0.62,12.4,9,41,0.512,21,0.368,7,"January 16, 2020",61.5,16,2.4,1,115.9,80.8,21,0.536,56,0.464,26,0.25,14,0.571,8,7,200,98.6,25.0,7,16,68,,4.3,3,0.429,24,0.333,8,51.9,28,0.543,17.3,13,32,0.563,18,0.632,12,"UC Riverside Student Recreation Center, Riverside, California",CALIFORNIA-RIVERSIDE,UC-Riverside,68.6,Away,CAL-STATE-NORTHRIDGE,Cal State Northridge,Cal State Northridge,big-west
2020-01-18-18-cal-state-northridge,55.0,11,16.7,6,93.9,75.6,31,0.464,55,0.364,20,0.345,19,0.789,15,11,200,100.0,22.2,8,14,66,,4.5,3,0.545,30,0.367,11,50.6,39,0.515,13.6,10,25,0.36,9,0.421,8,"January 18, 2020",47.8,11,16.0,4,100.0,77.8,28,0.444,63,0.365,23,0.159,10,0.6,6,13,200,93.9,24.4,10,17,62,,9.1,6,0.429,27,0.37,10,49.4,38,0.458,11.8,9,36,0.361,13,0.35,7,"The Matadome, Northridge, California",CAL-STATE-NORTHRIDGE,Cal State Northridge,66.4,Away,CALIFORNIA-DAVIS,UC-Davis,Cal State Northridge,big-west
2020-01-22-22-california-santa-barbara,58.1,18,8.0,2,119.0,58.3,14,0.602,59,0.525,31,0.237,14,0.857,12,13,200,131.7,25.9,7,19,83,,6.3,4,0.271,16,0.563,9,41.2,21,0.632,5.8,4,43,0.512,22,0.381,8,"January 22, 2020",66.7,16,0.0,0,131.7,74.1,20,0.548,52,0.462,24,0.404,21,0.857,18,7,200,119.0,41.7,10,14,75,,1.6,1,0.519,27,0.333,9,58.8,30,0.605,15.2,11,25,0.6,15,0.632,12,"The Thunderdome, Santa Barbara, California",CALIFORNIA-SANTA-BARBARA,UCSB,62.8,Away,CAL-STATE-NORTHRIDGE,Cal State Northridge,Cal State Northridge,big-west
2020-01-25-22-cal-state-fullerton,48.1,13,9.3,4,103.8,66.7,26,0.471,68,0.397,27,0.221,15,0.733,11,14,200,94.9,23.5,8,19,75,,7.6,6,0.441,30,0.333,10,46.6,34,0.499,13.9,12,38,0.447,17,0.364,8,"January 25, 2020",61.5,16,10.5,4,94.9,76.5,26,0.428,69,0.377,26,0.42,29,0.793,23,13,200,103.8,33.3,13,12,82,,7.6,6,0.377,26,0.269,7,53.4,39,0.495,9.9,9,43,0.442,19,0.381,8,"Titan Gym, Fullerton, California",CAL-STATE-NORTHRIDGE,Cal State Northridge,79.0,Home,CAL-STATE-FULLERTON,Cal State Fullerton,Cal State Northridge,big-west
2020-01-30-23-cal-state-northridge,33.3,7,2.6,1,114.5,87.0,20,0.543,47,0.447,21,0.468,22,0.727,16,8,200,97.1,21.4,6,18,67,,7.2,5,0.447,21,0.429,9,51.0,26,0.583,23.1,17,26,0.462,12,0.619,13,"January 30, 2020",45.2,14,19.2,5,97.1,78.6,22,0.648,54,0.574,31,0.204,11,0.818,9,14,200,114.5,13.0,3,20,79,,4.3,3,0.296,16,0.5,8,49.0,25,0.667,18.1,13,38,0.605,23,0.391,9,"The Matadome, Northridge, California",CALIFORNIA-SANTA-BARBARA,UCSB,68.8,Home,CAL-STATE-NORTHRIDGE,Cal State Northridge,Cal State Northridge,big-west
2020-02-02-01-hawaii,37.9,11,5.4,2,115.9,84.4,27,0.555,55,0.527,29,0.309,17,0.824,14,15,200,108.7,19.0,4,13,75,,5.8,4,0.127,7,0.429,3,58.5,31,0.595,11.4,8,48,0.542,26,0.375,9,"February 2, 2020",67.7,21,4.2,2,108.7,81.0,17,0.554,65,0.477,31,0.154,10,0.8,8,6,200,115.9,15.6,5,16,80,,10.1,7,0.431,28,0.357,10,41.5,22,0.573,8.0,6,37,0.568,21,0.7,14,"Stan Sheriff Center, Honolulu, Hawaii",CAL-STATE-NORTHRIDGE,Cal State Northridge,68.9,Home,HAWAII,Hawaii,Cal State Northridge,big-west
2020-02-08-22-cal-state-northridge,52.4,11,0.0,0,101.7,69.7,23,0.464,55,0.382,21,0.2,11,0.727,8,11,200,98.3,16.7,5,17,59,,6.7,4,0.455,25,0.36,9,44.4,28,0.49,9.1,6,30,0.4,12,0.56,14,"February 8, 2020",77.3,17,13.3,4,98.3,83.3,25,0.448,58,0.379,22,0.207,12,0.75,9,15,200,101.7,30.3,10,13,61,,0.0,0,0.414,24,0.333,8,55.6,35,0.479,8.7,6,34,0.412,14,0.4,10,"The Matadome, Northridge, California",CALIFORNIA-RIVERSIDE,UC-Riverside,60.5,Home,CAL-STATE-NORTHRIDGE,Cal State Northridge,Cal State Northridge,big-west
2020-02-13-22-cal-state-northridge,29.6,8,0.0,0,114.1,70.7,29,0.516,61,0.443,27,0.295,18,0.556,10,17,200,102.8,27.0,10,24,73,,4.2,3,0.443,27,0.333,9,50.0,39,0.525,13.8,11,34,0.529,18,0.292,7,"February 13, 2020",21.4,6,5.9,2,102.8,73.0,27,0.477,65,0.431,28,0.385,25,0.76,19,15,200,114.1,29.3,12,18,81,,8.5,6,0.292,19,0.316,6,50.0,39,0.527,7.3,6,46,0.478,22,0.423,11,"The Matadome, Northridge, California",CAL-POLY,Cal Poly,70.7,Home,CAL-STATE-NORTHRIDGE,Cal State Northridge,Cal State Northridge,big-west
2020-02-15-20-california-davis,54.5,18,5.9,2,142.9,69.6,16,0.679,56,0.589,33,0.536,30,0.733,22,16,200,127.3,8.3,2,21,98,,9.1,7,0.339,19,0.526,10,38.3,18,0.698,12.6,10,37,0.622,23,0.407,11,"February 15, 2020",51.4,18,8.1,3,127.3,91.7,22,0.72,59,0.593,35,0.441,26,0.962,25,15,200,142.9,30.4,7,23,110,,5.2,4,0.424,25,0.6,15,61.7,29,0.771,14.6,12,34,0.588,20,0.444,12,"The Pavilion, Davis, California",CAL-STATE-NORTHRIDGE,Cal State Northridge,77.3,Home,CALIFORNIA-DAVIS,UC-Davis,Cal State Northridge,big-west
2020-02-22-22-cal-state-northridge,72.2,26,7.1,3,87.7,90.0,27,0.662,65,0.554,36,0.015,1,1.0,1,10,200,119.2,19.2,5,13,87,,9.6,7,0.338,22,0.636,14,57.1,32,0.664,14.4,11,43,0.512,22,0.655,19,"February 22, 2020",50.0,12,7.0,3,119.2,80.8,21,0.458,59,0.407,24,0.203,12,0.833,10,17,200,87.7,10.0,3,8,64,,5.5,4,0.288,17,0.353,6,42.9,24,0.495,15.7,12,42,0.429,18,0.393,11,"The Matadome, Northridge, California",CAL-STATE-NORTHRIDGE,Cal State Northridge,72.6,Away,CALIFORNIA-IRVINE,UC-Irvine,Cal State Northridge,big-west
2020-02-26-22-long-beach-state,69.2,18,9.8,4,87.7,81.3,26,0.484,62,0.419,26,0.274,17,0.765,13,17,200,100.0,26.5,9,17,73,,6.8,5,0.371,23,0.348,8,53.0,35,0.521,13.7,11,39,0.462,18,0.414,12,"February 26, 2020",50.0,11,12.8,5,100.0,73.5,25,0.44,58,0.379,22,0.293,17,0.765,13,19,200,87.7,18.8,6,16,64,,9.6,7,0.293,17,0.412,7,47.0,31,0.484,16.6,13,41,0.366,15,0.345,10,"The Walter Pyramid, Long Beach, California",LONG-BEACH-STATE,Long Beach State,72.6,Away,CAL-STATE-NORTHRIDGE,Cal State Northridge,Cal State Northridge,big-west
2020-02-29-22-cal-state-northridge,35.3,12,3.8,2,119.3,74.4,29,0.48,75,0.453,34,0.4,30,0.667,20,19,200,110.8,37.8,17,23,92,,2.4,2,0.267,20,0.2,4,54.8,46,0.515,11.1,11,55,0.545,30,0.345,10,"February 29, 2020",50.0,17,9.1,5,110.8,62.2,28,0.543,70,0.486,34,0.457,32,0.719,23,17,200,119.3,25.6,10,27,99,,6.0,5,0.257,18,0.444,8,45.2,38,0.581,7.7,7,52,0.5,26,0.433,13,"The Matadome, Northridge, California",CAL-STATE-FULLERTON,Cal State Fullerton,82.7,Home,CAL-STATE-NORTHRIDGE,Cal State Northridge,Cal State Northridge,big-west
2020-03-04-22-california-irvine,44.4,12,11.4,5,109.4,58.1,18,0.565,54,0.5,27,0.315,17,0.647,11,17,200,112.5,33.3,9,11,72,,7.8,5,0.259,14,0.5,7,46.6,27,0.58,12.8,9,40,0.5,20,0.452,14,"March 4, 2020",62.1,18,12.5,5,112.5,66.7,18,0.5,66,0.439,29,0.106,7,0.571,4,11,200,109.4,41.9,13,15,70,,10.9,7,0.333,22,0.364,8,53.4,31,0.505,12.6,10,44,0.477,21,0.656,21,"Bren Events Center, Irvine, California",CALIFORNIA-IRVINE,UC-Irvine,64.2,Away,CAL-STATE-NORTHRIDGE,Cal State Northridge,Cal State Northridge,big-west
2020-03-07-22-cal-state-northridge,40.6,13,2.1,1,119.4,61.8,21,0.552,67,0.478,32,0.179,12,0.667,8,13,200,113.9,29.0,9,17,82,,5.6,4,0.418,28,0.357,10,46.2,30,0.564,10.0,8,39,0.564,22,0.567,17,"March 7, 2020",40.6,13,17.9,7,113.9,71.0,22,0.546,65,0.492,32,0.277,18,0.833,15,17,200,119.4,38.2,13,14,86,,5.6,4,0.277,18,0.389,7,53.8,35,0.585,14.1,12,47,0.532,25,0.469,15,"The Matadome, Northridge, California",HAWAII,Hawaii,72.1,Home,CAL-STATE-NORTHRIDGE,Cal State Northridge,Cal State Northridge,big-west
