,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf
2019-12-18-19-marist,73.9,17,6.7,3,84.8,69.4,25,0.519,54,0.426,23,0.241,13,0.615,8,5,200,97.0,34.4,11,20,64,,1.5,1,0.519,28,0.357,10,52.9,36,0.532,20.1,15,26,0.5,13,0.545,6,"December 18, 2019",19.0,4,15.4,4,97.0,65.6,21,0.39,59,0.356,21,0.322,19,0.526,10,7,200,84.8,30.6,11,15,56,,10.6,7,0.237,14,0.286,4,47.1,32,0.412,12.9,10,45,0.378,17,0.125,1,"McCann Recreation Center, Poughkeepsie, New York",MARIST,Marist,65.6,Away,NEW-HAMPSHIRE,New Hampshire,New Hampshire,america-east
2019-12-22-13-connecticut,55.0,11,3.2,1,125.7,70.8,17,0.48,49,0.408,20,0.408,20,0.75,15,6,200,88.6,16.7,5,19,62,,2.9,2,0.429,21,0.333,7,40.7,22,0.53,22.7,17,28,0.464,13,0.5,6,"December 22, 2019",53.3,16,7.1,2,88.6,83.3,25,0.645,55,0.545,30,0.455,25,0.68,17,3,200,125.7,29.2,7,19,88,,5.7,4,0.436,24,0.458,11,59.3,32,0.658,13.2,10,31,0.613,19,0.727,8,"XL Center, Hartford, Connecticut",NEW-HAMPSHIRE,New Hampshire,70.2,Home,CONNECTICUT,UConn,New Hampshire,america-east
2019-12-30-14-new-hampshire,36.8,7,0.0,0,94.6,93.9,31,0.35,60,0.317,19,0.35,21,0.667,14,7,200,75.7,17.1,7,19,56,,4.1,3,0.317,19,0.211,4,51.4,38,0.4,12.6,10,41,0.366,15,0.5,7,"December 30, 2019",45.8,11,2.4,1,75.7,82.9,34,0.491,57,0.421,24,0.333,19,0.737,14,6,200,94.6,6.1,2,18,70,,8.1,6,0.439,25,0.32,8,48.6,36,0.53,13.3,10,32,0.5,16,0.538,7,"Lundholm Gymnasium, Durham, New Hampshire",DARTMOUTH,Dartmouth,73.5,Home,NEW-HAMPSHIRE,New Hampshire,New Hampshire,america-east
2020-01-04-14-hartford,60.0,12,5.9,2,91.0,78.1,25,0.333,69,0.29,20,0.13,9,0.667,6,7,200,77.6,35.6,16,20,52,,6.0,4,0.565,39,0.154,6,53.2,41,0.355,13.1,11,30,0.467,14,0.5,7,"January 4, 2020",47.6,10,10.0,3,77.6,64.4,29,0.461,51,0.412,21,0.451,23,0.609,14,8,200,91.0,21.9,7,11,61,,13.4,9,0.333,17,0.294,5,46.8,36,0.493,15.3,11,34,0.471,16,0.5,8,"Chase Family Arena, Hartford, Connecticut",NEW-HAMPSHIRE,New Hampshire,67.1,Home,HARTFORD,Hartford,New Hampshire,america-east
2020-01-08-19-new-hampshire,43.8,7,8.0,2,86.4,66.7,16,0.348,56,0.286,16,0.339,19,0.632,12,12,200,77.3,17.9,7,14,51,,13.6,9,0.536,30,0.233,7,36.5,23,0.392,14.6,11,26,0.346,9,0.25,4,"January 8, 2020",47.8,11,0.0,0,77.3,82.1,32,0.54,50,0.46,23,0.12,6,0.5,3,7,200,86.4,33.3,8,17,57,,7.6,5,0.5,25,0.32,8,63.5,40,0.539,25.5,18,25,0.6,15,0.533,8,"Lundholm Gymnasium, Durham, New Hampshire",MAINE,Maine,65.9,Home,NEW-HAMPSHIRE,New Hampshire,New Hampshire,america-east
2020-01-11-19-stony-brook,68.8,11,3.3,1,93.6,87.5,28,0.284,67,0.239,16,0.254,17,0.588,10,8,200,61.5,28.9,13,19,48,,10.3,8,0.373,25,0.24,6,53.2,41,0.32,19.5,18,42,0.238,10,0.5,8,"January 11, 2020",40.0,10,16.7,7,61.5,71.1,32,0.538,53,0.472,25,0.472,25,0.64,16,6,200,93.6,12.5,4,20,73,,11.5,9,0.434,23,0.304,7,46.8,36,0.563,20.0,16,30,0.6,18,0.667,12,"Island Federal Credit Union, Stony Brook, New York",NEW-HAMPSHIRE,New Hampshire,78.5,Home,STONY-BROOK,Stony Brook,New Hampshire,america-east
2020-01-15-19-new-hampshire,29.2,7,5.3,2,93.6,76.9,30,0.528,54,0.444,24,0.463,25,0.76,19,8,225,97.4,12.5,4,20,76,,6.4,5,0.315,17,0.529,9,47.9,34,0.577,19.8,16,37,0.405,15,0.556,10,"January 15, 2020",25.0,6,5.4,2,97.4,87.5,28,0.452,62,0.387,24,0.387,24,0.708,17,9,225,93.6,23.1,9,23,73,,11.5,9,0.387,24,0.333,8,52.1,37,0.497,16.2,14,38,0.421,16,0.471,8,"Lundholm Gymnasium, Durham, New Hampshire",NEW-HAMPSHIRE,New Hampshire,69.5,Away,ALBANY-NY,Albany (NY),New Hampshire,america-east
2020-01-18-11-new-hampshire,25.0,5,6.9,2,98.5,78.1,25,0.49,48,0.417,20,0.563,27,0.481,13,12,200,90.9,10.8,4,15,60,,7.6,5,0.313,15,0.467,7,42.0,29,0.493,11.8,8,33,0.394,13,0.368,7,"January 18, 2020",45.8,11,9.1,3,90.9,89.2,33,0.5,55,0.436,24,0.273,15,0.667,10,9,200,98.5,21.9,7,20,65,,4.5,3,0.473,26,0.269,7,58.0,40,0.523,16.3,12,29,0.586,17,0.5,9,"Lundholm Gymnasium, Durham, New Hampshire",MARYLAND-BALTIMORE-COUNTY,UMBC,66.0,Home,NEW-HAMPSHIRE,New Hampshire,New Hampshire,america-east
2020-01-25-16-binghamton,33.3,10,3.1,1,104.5,65.8,25,0.588,57,0.526,30,0.281,16,0.625,10,9,200,116.7,27.6,8,15,77,,9.1,6,0.281,16,0.438,7,49.3,33,0.596,12.3,9,41,0.561,23,0.526,10,"January 25, 2020",47.8,11,0.0,0,116.7,72.4,21,0.445,64,0.359,23,0.266,17,0.706,12,12,200,104.5,34.2,13,16,69,,7.6,5,0.5,32,0.344,11,50.7,34,0.479,10.1,8,32,0.375,12,0.4,8,"Binghamton University Events Center, Vestal, New York",BINGHAMTON,Binghamton,66.3,Away,NEW-HAMPSHIRE,New Hampshire,New Hampshire,america-east
2020-01-29-19-new-hampshire,61.9,13,2.6,1,64.2,75.6,31,0.442,52,0.404,21,0.25,13,0.769,10,6,200,83.6,9.7,3,17,56,,10.4,7,0.231,12,0.333,4,47.2,34,0.481,17.2,12,40,0.425,17,0.727,16,"January 29, 2020",60.0,9,5.0,2,83.6,90.3,28,0.325,57,0.263,15,0.158,9,0.667,6,10,200,64.2,24.4,10,17,43,,3.0,2,0.333,19,0.368,7,52.8,38,0.351,19.7,15,38,0.211,8,0.5,10,"Lundholm Gymnasium, Durham, New Hampshire",NEW-HAMPSHIRE,New Hampshire,66.7,Away,VERMONT,Vermont,New Hampshire,america-east
2020-02-01-17-massachusetts-lowell,53.3,16,0.0,0,116.7,92.6,25,0.515,66,0.455,30,0.121,8,0.875,7,11,200,113.6,31.4,11,25,75,,4.5,3,0.348,23,0.348,8,58.1,36,0.537,9.1,7,43,0.512,22,0.476,10,"February 1, 2020",32.0,8,11.6,5,113.6,68.6,24,0.596,47,0.532,25,0.681,32,0.656,21,14,200,116.7,7.4,2,16,77,,7.6,5,0.383,18,0.333,6,41.9,26,0.619,8.9,6,29,0.655,19,0.391,9,"Tsongas Center, Lowell, Massachusetts",NEW-HAMPSHIRE,New Hampshire,66.0,Home,MASSACHUSETTS-LOWELL,UMass-Lowell,New Hampshire,america-east
2020-02-08-12-new-hampshire,26.3,5,10.5,4,98.8,69.7,23,0.341,66,0.288,19,0.439,29,0.655,19,9,200,78.0,30.2,13,24,64,,9.8,8,0.455,30,0.233,7,47.4,36,0.401,19.4,19,36,0.333,12,0.64,16,"February 8, 2020",55.6,15,16.7,6,78.0,69.8,30,0.508,61,0.443,27,0.459,28,0.679,19,11,200,98.8,30.3,10,21,81,,11.0,9,0.377,23,0.348,8,52.6,40,0.545,15.1,13,38,0.5,19,0.5,11,"Lundholm Gymnasium, Durham, New Hampshire",STONY-BROOK,Stony Brook,81.5,Home,NEW-HAMPSHIRE,New Hampshire,New Hampshire,america-east
2020-02-12-19-vermont,33.3,6,0.0,0,113.8,80.8,21,0.366,56,0.321,18,0.214,12,0.75,9,12,200,76.9,22.2,8,16,50,,6.2,4,0.321,18,0.278,5,46.8,29,0.405,15.2,11,38,0.342,13,0.478,11,"February 12, 2020",44.4,12,15.8,6,76.9,77.8,28,0.566,53,0.509,27,0.302,16,0.875,14,6,200,113.8,19.2,5,13,74,,4.6,3,0.434,23,0.261,6,53.2,33,0.611,13.0,9,30,0.7,21,0.769,20,"Roy L. Patrick Gymnasium, Burlington, Vermont",NEW-HAMPSHIRE,New Hampshire,64.7,Home,VERMONT,Vermont,New Hampshire,america-east
2020-02-15-13-maryland-baltimore-county,47.4,9,5.1,2,98.5,68.8,22,0.369,61,0.311,19,0.262,16,0.875,14,13,200,89.4,23.7,9,18,59,,9.1,6,0.443,27,0.259,7,44.3,31,0.43,8.1,6,34,0.353,12,0.458,11,"February 15, 2020",26.1,6,17.6,6,89.4,76.3,29,0.431,58,0.397,23,0.328,19,0.789,15,14,200,98.5,31.3,10,16,65,,4.5,3,0.328,19,0.211,4,55.7,39,0.485,11.9,9,39,0.487,19,0.462,12,"UMBC Event Center, Baltimore, Maryland",NEW-HAMPSHIRE,New Hampshire,65.8,Home,MARYLAND-BALTIMORE-COUNTY,UMBC,New Hampshire,america-east
2020-02-20-19-new-hampshire,35.0,7,2.4,1,90.5,69.2,36,0.405,58,0.345,20,0.379,22,0.727,16,14,225,85.1,10.0,4,18,63,,2.7,2,0.414,24,0.292,7,43.5,40,0.46,14.0,11,34,0.382,13,0.5,14,"February 20, 2020",52.2,12,8.8,3,85.1,90.0,36,0.355,76,0.303,23,0.224,17,0.765,13,13,225,90.5,30.8,16,14,67,,5.4,4,0.461,35,0.229,8,56.5,52,0.398,5.7,5,41,0.366,15,0.48,12,"Lundholm Gymnasium, Durham, New Hampshire",HARTFORD,Hartford,66.0,Home,NEW-HAMPSHIRE,New Hampshire,New Hampshire,america-east
2020-02-22-19-albany-ny,46.2,12,14.3,5,83.6,76.5,26,0.508,60,0.433,26,0.133,8,0.875,7,13,200,101.5,30.3,10,20,68,,4.5,3,0.333,20,0.45,9,53.7,36,0.533,17.0,13,40,0.425,17,0.5,13,"February 22, 2020",29.4,5,5.0,2,101.5,69.7,23,0.33,56,0.304,17,0.482,27,0.704,19,14,200,83.6,23.5,8,15,56,,7.5,5,0.375,21,0.143,3,46.3,31,0.407,9.3,7,35,0.4,14,0.5,14,"SEFCU Arena, Albany, New York",ALBANY-NY,Albany (NY),67.3,Away,NEW-HAMPSHIRE,New Hampshire,New Hampshire,america-east
2020-02-26-19-maine,64.0,16,0.0,0,94.6,72.7,24,0.5,61,0.41,25,0.377,23,0.696,16,13,200,104.1,22.9,8,20,77,,8.1,6,0.459,28,0.393,11,47.1,32,0.535,14.4,12,33,0.424,14,0.519,14,"February 26, 2020",60.9,14,21.2,7,104.1,77.1,27,0.464,55,0.418,23,0.473,26,0.731,19,21,200,94.6,27.3,9,22,70,,12.2,9,0.364,20,0.25,5,52.9,36,0.52,16.4,13,35,0.514,18,0.25,7,"Cross Insurance Center, Bangor, Maine",MAINE,Maine,73.6,Away,NEW-HAMPSHIRE,New Hampshire,New Hampshire,america-east
2020-02-29-13-new-hampshire,8.7,2,2.7,1,127.1,69.2,18,0.474,57,0.404,23,0.386,22,0.727,16,19,200,100.0,18.9,7,16,70,,8.6,6,0.421,24,0.333,8,39.7,25,0.519,10.7,8,33,0.455,15,0.345,10,"February 29, 2020",55.9,19,0.0,0,100.0,81.1,30,0.635,63,0.54,34,0.19,12,0.75,9,13,200,127.1,30.8,8,20,89,,7.1,5,0.413,26,0.462,12,60.3,38,0.648,12.8,10,37,0.595,22,0.536,15,"Lundholm Gymnasium, Durham, New Hampshire",BINGHAMTON,Binghamton,69.6,Home,NEW-HAMPSHIRE,New Hampshire,New Hampshire,america-east
2020-03-03-19-new-hampshire,45.5,10,5.9,2,84.4,81.6,31,0.531,49,0.449,22,0.408,20,0.55,11,18,200,98.4,15.6,5,12,63,,7.8,5,0.347,17,0.471,8,51.4,36,0.538,14.7,10,32,0.438,14,0.419,13,"March 3, 2020",47.6,10,15.6,5,98.4,84.4,27,0.412,57,0.368,21,0.246,14,0.5,7,14,200,84.4,18.4,7,19,54,,7.8,5,0.404,23,0.217,5,48.6,34,0.424,11.2,8,34,0.471,16,0.517,15,"Lundholm Gymnasium, Durham, New Hampshire",NEW-HAMPSHIRE,New Hampshire,64.1,Away,MASSACHUSETTS-LOWELL,UMass-Lowell,New Hampshire,america-east
2020-03-07-13-maryland-baltimore-county,54.5,12,0.0,0,114.1,85.2,23,0.539,51,0.431,22,0.314,16,0.75,12,15,200,104.7,26.7,8,20,67,,1.6,1,0.549,28,0.393,11,54.4,31,0.572,19.4,14,23,0.478,11,0.5,15,"March 7, 2020",24.0,6,4.3,1,104.7,73.3,22,0.531,49,0.51,25,0.531,26,0.808,21,16,200,114.1,14.8,4,14,73,,9.4,6,0.245,12,0.167,2,45.6,26,0.595,9.0,6,37,0.622,23,0.5,16,"UMBC Event Center, Baltimore, Maryland",NEW-HAMPSHIRE,New Hampshire,64.0,Home,MARYLAND-BALTIMORE-COUNTY,UMBC,New Hampshire,america-east
