,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf
2019-12-07-14-mississippi,69.6,16,3.7,1,133.9,83.3,20,0.521,47,0.489,23,0.638,30,0.6,18,7,200,108.1,44.0,11,23,67,,4.8,3,0.255,12,0.25,3,63.3,31,0.547,14.2,10,35,0.571,20,0.364,4,"December 7, 2019",69.2,18,5.7,2,108.1,56.0,14,0.656,45,0.578,26,0.8,36,0.667,24,3,200,133.9,16.7,4,19,83,,6.5,4,0.4,18,0.389,7,36.7,18,0.668,9.0,6,27,0.704,19,0.667,6,"The Pavilion at Ole Miss, Oxford, Mississippi",CAL-STATE-BAKERSFIELD,Cal State Bakersfield,62.2,Home,MISSISSIPPI,Ole Miss,Cal State Bakersfield,wac
2019-12-14-19-idaho,37.0,10,12.2,5,93.8,85.2,23,0.377,77,0.351,27,0.26,20,0.6,12,8,225,86.4,36.7,18,22,70,,13.6,11,0.234,18,0.222,4,53.9,41,0.405,12.3,12,59,0.39,23,0.333,4,"December 14, 2019",48.3,14,5.1,3,86.4,63.3,31,0.571,56,0.518,29,0.375,21,0.571,12,6,225,93.8,14.8,4,18,76,,4.9,4,0.268,15,0.4,6,46.1,35,0.576,23.5,20,41,0.561,23,0.4,4,"Memorial Gym, Moscow, Idaho",CAL-STATE-BAKERSFIELD,Cal State Bakersfield,72.2,Home,IDAHO,Idaho,Cal State Bakersfield,wac
2019-12-19-22-cal-state-bakersfield,62.5,15,2.9,1,110.4,66.7,18,0.606,47,0.511,24,0.489,23,0.652,15,5,200,107.5,25.0,6,16,72,,7.5,5,0.511,24,0.375,9,47.1,24,0.621,20.8,15,23,0.652,15,0.545,6,"December 19, 2019",64.3,18,4.3,1,107.5,75.0,18,0.582,55,0.509,28,0.255,14,0.714,10,8,200,110.4,33.3,9,21,74,,11.9,8,0.364,20,0.4,8,52.9,27,0.6,19.7,15,35,0.571,20,0.385,5,"Icardo Center, Bakersfield, California",MONTANA-STATE,Montana State,67.3,Home,CAL-STATE-BAKERSFIELD,Cal State Bakersfield,Cal State Bakersfield,wac
2019-12-21-22-cal-poly,51.9,14,3.7,1,79.4,78.1,25,0.545,56,0.482,27,0.268,15,0.733,11,8,200,114.3,56.0,14,20,72,,9.5,6,0.286,16,0.438,7,68.4,39,0.57,18.3,14,40,0.5,20,0.429,6,"December 21, 2019",50.0,8,5.0,2,114.3,44.0,11,0.394,47,0.34,16,0.468,22,0.591,13,10,200,79.4,21.9,7,15,50,,7.9,5,0.426,20,0.25,5,31.6,18,0.435,18.7,13,27,0.407,11,0.167,2,"Robert A. Mott Gymnasium, San Luis Obispo, California",CAL-POLY,Cal Poly,63.3,Away,CAL-STATE-BAKERSFIELD,Cal State Bakersfield,Cal State Bakersfield,wac
2019-12-29-16-texas-tech,45.5,10,0.0,0,112.3,80.0,24,0.463,54,0.407,22,0.222,12,0.667,8,9,200,89.2,29.0,9,20,58,,6.2,4,0.278,15,0.4,6,54.1,33,0.486,22.3,17,39,0.41,16,0.4,6,"December 29, 2019",66.7,16,15.4,6,89.2,71.0,22,0.582,49,0.49,24,0.51,25,0.64,16,3,200,112.3,20.0,6,10,73,23,10.8,7,0.347,17,0.529,9,45.9,28,0.6,11.8,8,32,0.469,15,0.75,9,"United Supermarkets Arena, Lubbock, Texas",CAL-STATE-BAKERSFIELD,Cal State Bakersfield,65.3,Home,TEXAS-TECH,Texas Tech,Cal State Bakersfield,wac
2020-01-04-22-cal-state-bakersfield,57.1,12,4.3,2,100.0,69.4,25,0.453,53,0.396,21,0.358,19,0.737,14,10,200,89.9,12.9,4,16,62,,5.8,4,0.321,17,0.353,6,43.3,29,0.5,12.8,9,36,0.417,15,0.333,5,"January 4, 2020",56.5,13,8.3,3,89.9,87.1,27,0.422,64,0.359,23,0.297,19,0.789,15,9,200,100.0,30.6,11,14,69,,8.7,6,0.266,17,0.471,8,56.7,38,0.472,11.1,9,47,0.319,15,0.438,7,"Icardo Center, Bakersfield, California",GRAND-CANYON,Grand Canyon,69.0,Home,CAL-STATE-BAKERSFIELD,Cal State Bakersfield,Cal State Bakersfield,wac
2020-01-08-22-cal-state-bakersfield,45.8,11,10.3,6,102.7,73.7,28,0.625,44,0.545,24,0.773,34,0.824,28,5,200,113.7,23.8,5,19,83,,1.4,1,0.341,15,0.467,7,55.9,33,0.69,21.3,16,29,0.586,17,0.688,11,"January 8, 2020",41.4,12,6.9,2,113.7,76.2,16,0.463,67,0.433,29,0.313,21,0.619,13,10,200,102.7,26.3,10,23,75,,8.2,6,0.134,9,0.444,4,44.1,26,0.487,8.4,7,58,0.431,25,0.412,7,"Icardo Center, Bakersfield, California",CAL-STATE-BAKERSFIELD,Cal State Bakersfield,72.6,Away,CALIFORNIA-BAPTIST,California Baptist,Cal State Bakersfield,wac
2020-01-16-20-missouri-kansas-city,50.0,11,31.0,9,88.9,74.3,26,0.473,55,0.4,22,0.6,33,0.667,22,10,225,102.8,45.5,15,27,74,,15.3,11,0.327,18,0.444,8,60.3,41,0.524,16.8,14,37,0.378,14,0.444,8,"January 16, 2020",57.9,11,8.1,3,102.8,54.5,18,0.407,54,0.352,19,0.574,31,0.645,20,10,225,88.9,25.7,9,27,64,,2.8,2,0.463,25,0.24,6,39.7,27,0.466,18.2,15,29,0.448,13,0.474,9,"Swinney Recreation Center, Kansas City, Missouri",MISSOURI-KANSAS-CITY,UMKC,64.2,Away,CAL-STATE-BAKERSFIELD,Cal State Bakersfield,Cal State Bakersfield,wac
2020-01-19-13-chicago-state,53.8,14,4.8,1,88.5,100.0,22,0.588,51,0.51,26,0.314,16,0.75,12,10,200,118.0,40.0,10,21,72,,8.2,5,0.333,17,0.471,8,68.1,32,0.614,15.9,11,34,0.529,18,0.474,9,"January 19, 2020",53.3,8,5.9,2,118.0,60.0,15,0.5,36,0.417,15,0.611,22,0.818,18,17,200,88.5,0.0,0,14,54,,4.9,3,0.417,15,0.4,6,31.9,15,0.581,25.9,16,21,0.429,9,0.19,4,"Emil and Patricia Jones Convocation Center, Chicago, Illinois",CHICAGO-STATE,Chicago State,61.0,Away,CAL-STATE-BAKERSFIELD,Cal State Bakersfield,Cal State Bakersfield,wac
2020-01-23-22-cal-state-bakersfield,42.1,8,13.5,7,75.3,69.6,32,0.396,53,0.358,19,0.491,26,0.577,15,13,225,74.0,21.6,8,18,57,,13.0,10,0.34,18,0.222,4,48.2,40,0.436,20.9,17,35,0.429,15,0.381,8,"January 23, 2020",22.7,5,14.3,5,74.0,78.4,29,0.346,68,0.324,22,0.279,19,0.579,11,10,225,75.3,30.4,14,21,58,,6.5,5,0.235,16,0.188,3,51.8,43,0.377,17.3,16,52,0.365,19,0.5,10,"Icardo Center, Bakersfield, California",UTAH-VALLEY,Utah Valley,68.2,Home,CAL-STATE-BAKERSFIELD,Cal State Bakersfield,Cal State Bakersfield,wac
2020-01-25-22-cal-state-bakersfield,42.3,11,6.7,3,108.2,59.4,19,0.573,55,0.473,26,0.527,29,0.793,23,11,200,117.8,32.1,9,22,86,,4.1,3,0.473,26,0.423,11,46.7,28,0.625,15.0,12,29,0.517,15,0.5,11,"January 25, 2020",53.8,14,10.3,3,117.8,67.9,19,0.467,61,0.426,26,0.492,30,0.733,22,11,200,108.2,40.6,13,23,79,,12.3,9,0.262,16,0.313,5,53.3,32,0.525,12.9,11,45,0.467,21,0.476,10,"Icardo Center, Bakersfield, California",CAL-STATE-BAKERSFIELD,Cal State Bakersfield,72.5,Away,SEATTLE,Seattle,Cal State Bakersfield,wac
2020-01-30-21-new-mexico-state,54.2,13,4.0,1,103.4,85.2,23,0.539,51,0.471,24,0.098,5,0.4,2,12,200,96.6,16.0,4,23,57,,8.5,5,0.412,21,0.333,7,51.9,27,0.534,15.8,10,30,0.567,17,0.455,10,"January 30, 2020",55.6,10,10.0,3,96.6,84.0,21,0.5,42,0.429,18,0.595,25,0.76,19,6,200,103.4,14.8,4,11,61,,3.4,2,0.405,17,0.353,6,48.1,25,0.566,14.5,9,25,0.48,12,0.727,16,"Pan American Center, Las Cruces, New Mexico",CAL-STATE-BAKERSFIELD,Cal State Bakersfield,59.1,Home,NEW-MEXICO-STATE,New Mexico State,Cal State Bakersfield,wac
2020-02-01-20-texas-pan-american,71.4,15,0.0,0,101.4,66.7,24,0.418,55,0.382,21,0.273,15,0.867,13,13,200,85.5,28.1,9,32,59,,5.8,4,0.364,20,0.2,4,48.5,33,0.475,20.6,16,35,0.486,17,0.435,10,"February 1, 2020",68.4,13,2.9,1,85.5,71.9,23,0.41,50,0.38,19,0.9,45,0.644,29,14,200,101.4,33.3,12,15,70,,10.1,7,0.32,16,0.188,3,51.5,35,0.49,12.5,10,34,0.471,16,0.333,7,"UTRGV Fieldhouse, Edinburg, Texas",CAL-STATE-BAKERSFIELD,Cal State Bakersfield,69.3,Home,TEXAS-PAN-AMERICAN,Texas-Rio Grande Valley,Cal State Bakersfield,wac
2020-02-06-22-california-baptist,40.7,11,20.0,7,119.4,56.8,21,0.578,51,0.529,27,0.353,18,0.556,10,14,200,111.3,37.0,10,24,69,,9.7,6,0.235,12,0.417,5,48.4,31,0.579,19.2,14,39,0.564,22,0.417,10,"February 6, 2020",39.1,9,15.4,6,111.3,63.0,17,0.491,56,0.411,23,0.429,24,0.792,19,6,200,119.4,43.2,16,17,74,,8.1,5,0.375,21,0.429,9,51.6,33,0.549,13.1,10,35,0.4,14,0.739,17,"CBU Events Center, Riverside, California",CAL-STATE-BAKERSFIELD,Cal State Bakersfield,62.5,Home,CALIFORNIA-BAPTIST,California Baptist,Cal State Bakersfield,wac
2020-02-13-22-cal-state-bakersfield,40.0,6,7.7,3,98.5,61.3,19,0.384,43,0.349,15,0.605,26,0.808,21,22,200,83.1,21.7,5,23,54,,7.7,5,0.372,16,0.188,3,44.4,24,0.488,23.8,17,27,0.444,12,0.154,4,"February 13, 2020",58.3,14,11.1,3,83.1,78.3,18,0.472,54,0.444,24,0.389,21,0.619,13,14,200,98.5,38.7,12,24,64,,13.8,9,0.278,15,0.2,3,55.6,30,0.5,14.8,11,39,0.538,21,0.44,11,"Icardo Center, Bakersfield, California",CHICAGO-STATE,Chicago State,65.2,Home,CAL-STATE-BAKERSFIELD,Cal State Bakersfield,Cal State Bakersfield,wac
2020-02-15-22-cal-state-bakersfield,47.6,10,8.1,3,85.5,61.3,19,0.522,46,0.457,21,0.283,13,0.846,11,14,200,95.2,8.7,2,21,59,,8.1,5,0.391,18,0.333,6,38.9,21,0.565,21.3,14,28,0.536,15,0.481,13,"February 15, 2020",57.9,11,14.3,4,95.2,91.3,21,0.406,48,0.396,19,0.438,21,0.667,14,15,200,85.5,38.7,12,17,53,,6.5,4,0.229,11,0.091,1,61.1,33,0.457,18.5,13,37,0.486,18,0.423,11,"Icardo Center, Bakersfield, California",CAL-STATE-BAKERSFIELD,Cal State Bakersfield,61.6,Away,MISSOURI-KANSAS-CITY,UMKC,Cal State Bakersfield,wac
2020-02-20-21-utah-valley,18.2,4,5.9,2,104.3,80.8,21,0.393,61,0.361,22,0.246,15,0.667,10,16,200,84.1,33.3,13,19,58,,8.7,6,0.279,17,0.235,4,52.3,34,0.426,17.2,14,44,0.409,18,0.407,11,"February 20, 2020",66.7,16,6.8,3,84.1,66.7,26,0.55,50,0.48,24,0.44,22,0.773,17,17,200,104.3,19.2,5,14,72,,13.0,9,0.32,16,0.438,7,47.7,31,0.596,17.9,13,34,0.5,17,0.37,10,"UCCU Center, Orem, Utah",CAL-STATE-BAKERSFIELD,Cal State Bakersfield,68.8,Home,UTAH-VALLEY,Utah Valley,Cal State Bakersfield,wac
2020-02-22-22-seattle,28.6,6,14.8,4,111.3,77.8,21,0.46,50,0.42,21,0.22,11,0.727,8,17,200,87.1,17.9,5,19,54,,3.2,2,0.22,11,0.364,4,47.3,26,0.489,19.2,13,39,0.436,17,0.393,11,"February 22, 2020",38.1,8,5.1,2,87.1,82.1,23,0.49,50,0.42,21,0.46,23,0.87,20,14,200,111.3,22.2,6,11,69,,11.3,7,0.46,23,0.304,7,52.7,29,0.566,9.1,6,27,0.519,14,0.5,14,"Connolly Center, Seattle, Washington",CAL-STATE-BAKERSFIELD,Cal State Bakersfield,62.1,Home,SEATTLE,Seattle,Cal State Bakersfield,wac
2020-02-27-22-cal-state-bakersfield,40.0,8,5.1,2,111.3,80.0,24,0.393,56,0.357,20,0.339,19,0.789,15,16,200,83.1,29.4,10,21,59,,5.6,4,0.286,16,0.25,4,53.1,34,0.454,19.9,16,40,0.4,16,0.429,12,"February 27, 2020",42.9,12,2.5,1,83.1,70.6,24,0.574,54,0.519,28,0.444,24,0.708,17,17,200,111.3,20.0,6,19,79,,8.5,6,0.278,15,0.4,6,46.9,30,0.604,15.7,12,39,0.564,22,0.414,12,"Icardo Center, Bakersfield, California",TEXAS-PAN-AMERICAN,Texas-Rio Grande Valley,71.2,Home,CAL-STATE-BAKERSFIELD,Cal State Bakersfield,Cal State Bakersfield,wac
2020-02-29-22-cal-state-bakersfield,75.0,15,3.0,1,83.6,67.7,21,0.53,50,0.4,20,0.22,11,0.818,9,6,200,112.7,30.0,9,14,62,,10.9,6,0.58,29,0.448,13,49.2,30,0.561,15.4,10,21,0.333,7,0.8,24,"February 29, 2020",63.2,12,14.3,3,112.7,70.0,21,0.438,48,0.396,19,0.229,11,0.364,4,18,200,83.6,32.3,10,15,46,,7.3,4,0.313,15,0.267,4,50.8,31,0.432,17.2,11,33,0.455,15,0.4,12,"Icardo Center, Bakersfield, California",CAL-STATE-BAKERSFIELD,Cal State Bakersfield,55.2,Away,NEW-MEXICO-STATE,New Mexico State,Cal State Bakersfield,wac
2020-03-07-20-grand-canyon,41.7,10,3.4,1,97.0,79.4,27,0.382,68,0.353,24,0.147,10,0.9,9,19,200,92.4,35.0,14,17,61,,7.6,5,0.338,23,0.174,4,55.4,41,0.419,11.1,9,45,0.444,20,0.387,12,"March 7, 2020",38.1,8,6.7,3,92.4,65.0,26,0.463,54,0.389,21,0.296,16,0.875,14,17,200,97.0,20.6,7,10,64,,3.0,2,0.463,25,0.32,8,44.6,33,0.519,12.8,9,29,0.448,13,0.433,13,"Grand Canyon University Arena, Phoenix, Arizona",CAL-STATE-BAKERSFIELD,Cal State Bakersfield,65.7,Home,GRAND-CANYON,Grand Canyon,Cal State Bakersfield,wac
